geolocation,industry_description,number_of_establishments_2020,total_employment_at_2020,paid_employees_at_2020,workers_on_sub-contract_agreement_or_under_manpower_agencies_contractors_at_2020,total_revenue_2020,total_expense_2020,compensation_2020,other_expense_2020,value_added_2020,gross_additions_to_tangible_fixed_assets_2020,change_in_inventories_2020,sales_from_e-commerce_transactions_2020,subsidies_2020
Philippines,"Arts, Entertainment and Recreation",1738,47700,47095,2573,67387865,80682403,15204126,65478276,33835413,5806778,79749,31694,3900
Philippines,"Creative, arts and entertainment activities",42,1114,1098,24,140465,137936,88913,49022,101852,18673,-291,0,0
Philippines,"Libraries, archives, museums and other cultural activities",34,1144,1107,138,896837,935064,177259,757805,370184,108961,197826,13294,3900
Philippines,Gambling and betting activities,630,25645,25630,1160,55938830,68073750,12565497,55508252,29126261,4209329,-87666,0,0
Philippines,Sports activities,312,6809,6690,562,5771781,5609150,1148522,4460628,2378426,301981,-3098,0,0
Philippines,Other amusement and recreation activities,719,12989,12571,689,4639952,5926503,1223935,4702568,1858690,1167834,-27022,18400,0
National Capital Region,"Arts, Entertainment and Recreation",315,20793,20574,579,50849588,62962381,10437323,52525058,27285455,3550120,12217,1384,0
National Capital Region,"Creative, arts and entertainment activities",20,447,439,23,133227,128329,85996,42334,98836,0,0,0,0
National Capital Region,"Libraries, archives, museums and other cultural activities",8,184,184,131,376955,493270,90517,402752,128895,26038,32,1384,0
National Capital Region,Gambling and betting activities,124,15136,15136,292,46173173,57901512,9339023,48562489,25122418,3378999,12216,0,0
National Capital Region,Sports activities,78,2489,2463,0,1970303,1730334,467611,1262723,975517,132067,-1612,0,0
National Capital Region,Other amusement and recreation activities,85,2536,2352,134,2195931,2708936,454176,2254760,959789,13016,1581,0,0
Cordillera Administrative Region,"Arts, Entertainment and Recreation",25,279,267,12,209914,213114,25155,187959,37306,16101,1056,0,0
Cordillera Administrative Region,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Cordillera Administrative Region,"Libraries, archives, museums and other cultural activities",3,18,18,0,12393,9914,2479,7436,6397,6759,-145,0,0
Cordillera Administrative Region,Gambling and betting activities,6,81,81,12,105314,108196,4757,103439,12928,114,0,0,0
Cordillera Administrative Region,Sports activities,7,66,66,0,78870,82505,13177,69328,10813,0,1195,0,0
Cordillera Administrative Region,Other amusement and recreation activities,9,115,103,0,13336,12498,4742,7756,7169,9229,5,0,0
Ilocos Region,"Arts, Entertainment and Recreation",90,1232,1222,0,1498119,1128547,325268,803279,1110586,226449,-2289,0,0
Ilocos Region,"Creative, arts and entertainment activities",7,133,128,0,891,727,433,293,728,0,0,0,0
Ilocos Region,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Ilocos Region,Gambling and betting activities,34,699,699,0,1397563,1020535,309817,710719,1094641,226449,-2141,0,0
Ilocos Region,Sports activities,14,101,96,0,62692,54062,4019,50043,8703,0,0,0,0
Ilocos Region,Other amusement and recreation activities,35,300,299,0,36972,53223,10999,42224,6514,0,-148,0,0
Cagayan Valley,"Arts, Entertainment and Recreation",29,1492,1489,0,723231,744528,480568,263960,499890,0,-351,0,0
Cagayan Valley,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Cagayan Valley,Gambling and betting activities,10,1366,1366,0,691845,723319,467258,256061,474773,0,-351,0,0
Cagayan Valley,Sports activities,6,41,39,0,1053,658,429,229,926,0,0,0,0
Cagayan Valley,Other amusement and recreation activities,13,85,85,0,30334,20550,12881,7669,24191,0,0,0,0
Central Luzon,"Arts, Entertainment and Recreation",197,4082,3965,181,2365492,2645823,540509,2105315,774494,799929,-13592,0,0
Central Luzon,"Creative, arts and entertainment activities",7,161,134,4,10481,12021,6127,5894,6687,18638,-135,0,0
Central Luzon,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Luzon,Gambling and betting activities,80,1999,1999,60,1611582,1764548,351485,1413063,330968,484395,1391,0,0
Central Luzon,Sports activities,22,513,507,51,357228,391566,84876,306690,227962,122185,-4176,0,0
Central Luzon,Other amusement and recreation activities,89,1410,1325,66,386201,477689,98021,379668,208877,174712,-10671,0,0
Calabarzon,"Arts, Entertainment and Recreation",231,6924,6907,927,5549346,6281222,1782707,4498515,2031006,108941,-113681,16848,0
Calabarzon,"Creative, arts and entertainment activities",6,420,420,0,885,918,591,327,634,0,-3,0,0
Calabarzon,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Calabarzon,Gambling and betting activities,68,2788,2788,319,2377099,2729229,1146386,1582844,1013511,5351,-102545,0,0
Calabarzon,Sports activities,52,1675,1675,422,2687891,2714327,404903,2309424,863524,14762,-1144,0,0
Calabarzon,Other amusement and recreation activities,105,2041,2024,185,483471,836749,230828,605920,153337,88827,-9989,16848,0
Mimaropa Region,"Arts, Entertainment and Recreation",49,397,386,12,80593,121707,22822,98885,38714,175037,-1707,1054,900
Mimaropa Region,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Mimaropa Region,"Libraries, archives, museums and other cultural activities",5,24,23,0,3800,3526,1609,1918,2099,160,15,0,900
Mimaropa Region,Gambling and betting activities,15,61,57,0,3953,4130,2110,2020,2028,0,49,0,0
Mimaropa Region,Sports activities,6,44,44,0,20697,22593,6191,16402,7952,0,0,0,0
Mimaropa Region,Other amusement and recreation activities,24,268,262,12,52142,91457,12912,78545,26636,174877,-1770,1054,0
Bicol Region,"Arts, Entertainment and Recreation",73,1241,1211,59,407938,684549,262046,422503,167682,49433,1758,0,0
Bicol Region,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Gambling and betting activities,28,306,306,0,297973,472144,177938,294206,164130,0,0,0,0
Bicol Region,Sports activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Bicol Region,Other amusement and recreation activities,38,798,770,59,106257,196480,77239,119241,7917,48113,1758,0,0
Western Visayas,"Arts, Entertainment and Recreation",104,2144,2076,296,1554451,1718008,389592,1328416,378052,61094,-974,0,0
Western Visayas,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Western Visayas,"Libraries, archives, museums and other cultural activities",6,92,88,0,7855,11659,6275,5384,4574,4,-8,0,0
Western Visayas,Gambling and betting activities,28,485,485,268,1294322,1395559,280900,1114659,291699,58077,0,0,0
Western Visayas,Sports activities,14,603,570,23,133061,118010,50837,67173,68519,0,25,0,0
Western Visayas,Other amusement and recreation activities,56,964,933,6,119212,192781,51580,141200,13261,3013,-991,0,0
Central Visayas,"Arts, Entertainment and Recreation",191,3987,3962,129,1685455,1908529,440256,1468273,496046,114249,8090,12408,0
Central Visayas,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Central Visayas,"Libraries, archives, museums and other cultural activities",5,283,283,0,38699,96092,34686,61406,9874,700,1400,11910,0
Central Visayas,Gambling and betting activities,53,1232,1227,5,987222,1168598,250069,918528,117320,23020,5479,0,0
Central Visayas,Sports activities,31,688,681,57,277731,321028,91406,229622,155167,23222,2346,0,0
Central Visayas,Other amusement and recreation activities,102,1784,1771,66,381803,322812,64094,258717,213685,67306,-1136,498,0
Eastern Visayas,"Arts, Entertainment and Recreation",78,443,443,19,77535,88825,10838,77987,21518,86,-574,0,0
Eastern Visayas,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Visayas,Gambling and betting activities,43,153,153,0,60070,55032,6634,48397,15236,0,-76,0,0
Eastern Visayas,Sports activities,18,102,102,0,2806,2861,1481,1380,1933,34,-22,0,0
Eastern Visayas,Other amusement and recreation activities,17,189,189,19,14659,30932,2723,28209,4349,51,-475,0,0
Zamboanga Peninsula,"Arts, Entertainment and Recreation",32,361,361,11,109418,80063,33299,46764,67467,0,-428,0,0
Zamboanga Peninsula,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Zamboanga Peninsula,Gambling and betting activities,10,51,51,0,35281,32698,2648,30050,5587,0,0,0,0
Zamboanga Peninsula,Sports activities,10,13,13,9,1240,1427,514,913,889,0,0,0,0
Zamboanga Peninsula,Other amusement and recreation activities,12,298,298,2,72897,45938,30137,15801,60990,0,-428,0,0
Northern Mindanao,"Arts, Entertainment and Recreation",132,1553,1508,294,809032,831787,165165,666622,313423,685343,-1340,0,0
Northern Mindanao,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Gambling and betting activities,65,522,515,187,279150,165758,39760,125998,164396,22907,-2676,0,0
Northern Mindanao,Sports activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Northern Mindanao,Other amusement and recreation activities,45,763,730,107,373112,522562,106843,415719,75015,582549,1193,0,0
Davao Region,"Arts, Entertainment and Recreation",112,2089,2063,15,1188461,1099610,259446,840164,458164,13855,199429,0,3000
Davao Region,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Davao Region,"Libraries, archives, museums and other cultural activities",6,382,375,5,432504,279327,21887,257440,183126,3471,196519,0,3000
Davao Region,Gambling and betting activities,42,634,634,0,393031,424619,175574,249045,173126,10016,990,0,0
Davao Region,Sports activities,15,110,100,0,32348,43109,11971,31138,13558,368,30,0,0
Davao Region,Other amusement and recreation activities,50,963,954,10,330579,352555,50015,302540,88354,0,1889,0,0
Soccsksargen,"Arts, Entertainment and Recreation",46,447,444,17,104583,89221,18208,71013,43465,1000,-617,0,0
Soccsksargen,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Soccsksargen,Gambling and betting activities,16,84,84,17,86319,54046,8334,45711,42249,0,0,0,0
Soccsksargen,Sports activities,7,40,37,0,4283,3617,1088,2529,3179,0,-24,0,0
Soccsksargen,Other amusement and recreation activities,23,323,323,0,13980,31558,8786,22773,-1963,1000,-594,0,0
Caraga,"Arts, Entertainment and Recreation",34,237,216,21,174710,84488,10924,73564,112145,5140,-7247,0,0
Caraga,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Gambling and betting activities,10,50,50,0,144932,53827,2806,51021,101250,0,0,0,0
Caraga,Sports activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Caraga,Other amusement and recreation activities,18,153,153,21,29065,29783,7959,21824,10569,5140,-7247,0,0
Autonomous Region in Muslim Mindanao,"Arts, Entertainment and Recreation",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Creative, arts and entertainment activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,"Libraries, archives, museums and other cultural activities",0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Gambling and betting activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Sports activities,0,0,0,0,0,0,0,0,0,0,0,0,0
Autonomous Region in Muslim Mindanao,Other amusement and recreation activities,0,0,0,0,0,0,0,0,0,0,0,0,0
