,"Table 4. Total Annual Family Expenditure, by Per Capita Income Decile and by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
57,City of Angeles,32336.38,2221.11,2456.42,2605.06,2863.3,3052.76,3022.46,3327.96,3530.18,3804.93,5452.18,46189.33,2950.16,3375.88,3635.5,3701,4117.83,4375.52,4498.59,4908.57,5469.91,9156.37,51873.44,4153.27,4547.17,4776.47,4774.16,5197.83,5063.34,5293.31,5603.86,5854.31,6609.72,42.84,32.82,37.43,39.56,29.26,34.89,44.77,35.18,39.05,43.76,67.94,12.31,40.78,34.7,31.38,29,26.23,15.72,17.67,14.16,7.03,-27.81
58,Tarlac,78496.6,4495.11,5235.66,6306.65,6207.38,6728.19,7110.11,8377.82,9065.21,10934.11,14036.35,89783.62,5036.52,5892.62,6534.7,7491.46,7239.02,8015.93,9073.51,10022.98,12337.14,18139.73,109570.52,6226.91,8140.99,8870.15,9323.23,10005.61,10910.8,10768.3,11800.67,14208.23,19315.64,14.38,12.04,12.55,3.62,20.69,7.59,12.74,8.3,10.57,12.83,29.23,22.04,23.64,38.16,35.74,24.45,38.22,36.11,18.68,17.74,15.17,6.48
59,Zambales (Excluding City of Olongapo),41937.9,2292.55,2835.92,3132.5,3158.06,3334.79,4035.09,4499.63,4839.56,5708.55,8101.24,38066.98,2355.56,2507.76,2809.51,2997.01,3331.65,3426.05,3761.57,4043.39,5374.85,7459.63,45889.54,2982.82,3361.41,3843.14,3854.73,4238.43,4136.76,5271.72,5118.13,5655.23,7427.18,-9.23,2.75,-11.57,-10.31,-5.1,-0.09,-15.09,-16.4,-16.45,-5.85,-7.92,20.55,26.63,34.04,36.79,28.62,27.22,20.74,40.15,26.58,5.22,-0.44
60,City of Olongapo,20148.3,1272.91,1506.55,1671.78,1592.13,1733.24,2113.87,2135.93,2279.9,2498.04,3343.93,19347.97,1257.61,1430.76,1543.09,1614.56,1861.38,1851.86,2071.9,2143.65,2251.74,3321.4,20867.68,1232.91,1497.82,1585.47,1875.89,1859.83,1926.2,2101.91,2180.43,2609.78,3997.44,-3.97,-1.2,-5.03,-7.7,1.41,7.39,-12.39,-3,-5.98,-9.86,-0.67,7.85,-1.96,4.69,2.75,16.19,-0.08,4.01,1.45,1.72,15.9,20.35
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,REGION IVA - CALABARZON,1145419.51,54159.74,69582.77,79542.69,86985.63,97713.73,107698.51,117797.95,132004.43,160961.45,238972.62,1145313.26,57148.53,71790.13,81138.68,90242.27,98706.13,109308.67,117795.38,133093.42,149997.46,236092.59,1335720.46,73698.57,86358.67,98014.68,105351.14,114984.02,124409.49,140880.94,152111.5,176134.34,263777.11,-0.01,5.52,3.17,2.01,3.74,1.02,1.5,0,0.82,-6.81,-1.21,16.62,28.96,20.29,20.8,16.74,16.49,13.81,19.6,14.29,17.42,11.73
63,Batangas,169817.69,9538.82,10868.8,12918.16,13026.2,15585.87,15939.94,16267.47,19207.88,23617.8,32846.76,192992.21,11818.36,13329.47,14182.09,14977.17,15866.26,17551.46,19968.78,23924.46,23860.66,37513.5,227519.31,13421.24,15176.28,17401.36,18140.47,20031.77,21422.18,22463.27,25599.99,29263.7,44599.06,13.65,23.9,22.64,9.78,14.98,1.8,10.11,22.75,24.56,1.03,14.21,17.89,13.56,13.86,22.7,21.12,26.25,22.05,12.49,7,22.64,18.89
64,Cavite,335624.94,15848.61,21804.88,24499.87,25697.41,28766.84,33430.9,34294.34,40777.92,44614.37,65889.8,341101.95,17369.6,22475.18,25398.82,28685.18,31454.56,31813.39,34803.58,36741.74,42392,69967.89,361034.35,20851.12,26199.77,26888.44,28840.04,32600.59,37425.29,37286.84,40348.71,46953.53,63640.03,1.63,9.6,3.07,3.67,11.63,9.34,-4.84,1.48,-9.9,-4.98,6.19,5.84,20.04,16.57,5.86,0.54,3.64,17.64,7.14,9.82,10.76,-9.04
65,Laguna,276222.41,14060.39,17683.07,19412.81,21873.08,24110.82,26159.35,27256.39,34190.98,38917.55,52557.97,251338.42,12799.99,16630.33,19311.09,20719.7,22462.25,25071.37,26185.2,30128.33,33292.33,44737.83,331637.3,18606.72,22810.69,24724.89,26814.33,28863.11,33038.07,33228.65,37309.74,42497.67,63743.44,-9.01,-8.96,-5.95,-0.52,-5.27,-6.84,-4.16,-3.93,-11.88,-14.45,-14.88,31.95,45.37,37.16,28.03,29.41,28.5,31.78,26.9,23.84,27.65,42.48
66,Quezon (Excluding City of Lucena),89794.62,4708.05,5829.43,6790.96,7174.58,7454.05,7563.94,8974.95,10381.75,11335.02,19581.88,92871.94,4590.47,6091.79,6695.75,7115.37,7284.82,7949.76,9033.44,10221.04,12108.61,21780.9,107418.39,7306.62,8249.31,8212.14,8720.63,8954.83,9371.81,10381.4,11984.02,12543.35,21694.3,3.43,-2.5,4.5,-1.4,-0.83,-2.27,5.1,0.65,-1.55,6.82,11.23,15.66,59.17,35.42,22.65,22.56,22.92,17.89,14.92,17.25,3.59,-0.4
67,City of Lucena,18989.42,1084.57,1201.32,1483.46,1473.53,1560.15,1659.82,1799.42,2473.81,2813.22,3440.1,18494.16,997.56,1244.3,1226.43,1396.9,1478.4,1735.65,1972.39,2112.39,2412.26,3917.87,20585.22,1393.63,1551.44,1618.46,1747.86,1872.6,1965.48,2030.22,2058.42,2747.76,3599.34,-2.61,-8.02,3.58,-17.33,-5.2,-5.24,4.57,9.61,-14.61,-14.25,13.89,11.31,39.7,24.68,31.97,25.12,26.66,13.24,2.93,-2.56,13.91,-8.13
68,Rizal,254970.44,13072.3,16168.02,18126.07,18296.27,20137.75,24063.94,24511.89,27001.44,34509.22,59083.52,248514.58,13907.99,15724.86,18260.87,19001.41,21120.82,21804.43,24873.38,27067.81,33708.05,53044.95,287525.89,15157.93,18297.13,20163.13,21838.26,22706.62,25290.34,30226.83,32563.59,37231.8,64050.26,-2.53,6.39,-2.74,0.74,3.85,4.88,-9.39,1.47,0.25,-2.32,-10.22,15.7,8.99,16.36,10.42,14.93,7.51,15.99,21.52,20.3,10.45,20.75
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,MIMAROPA REGION,128791.97,7392.47,8889.21,9343.74,9819.87,10174.52,10911.99,11924.82,13557.35,16873.47,29904.54,140432.25,7291.53,8881.88,9586.85,10248.17,10854.12,11971.32,13094.64,14920.01,19975.77,33607.96,155454.26,8411.5,10856.8,11093.63,11253.3,12745.75,13150.57,14424.88,16539.52,19464.23,37514.08,9.04,-1.37,-0.08,2.6,4.36,6.68,9.71,9.81,10.05,18.39,12.38,10.7,15.36,22.24,15.72,9.81,17.43,9.85,10.16,10.85,-2.56,11.62
71,Marinduque,10375.1,655.25,696.46,763.49,859.14,783.02,831.63,942.7,1066.94,1337.03,2439.43,10679.78,695.55,805.56,813.82,879.16,841.62,968.83,1020.58,1088.34,1431.47,2134.85,13211.58,914.25,1014.52,1009.14,1108.82,1035.72,1109.22,1150.18,1315.31,1632.75,2921.68,2.94,6.15,15.66,6.59,2.33,7.48,16.5,8.26,2.01,7.06,-12.49,23.71,31.44,25.94,24,26.12,23.06,14.49,12.7,20.85,14.06,36.86
72,Occidental Mindoro,21473.67,938.9,1350.93,1405.57,1603.45,1567.34,1662.32,1950.51,2135.79,2955.9,5902.94,22364.5,954.68,1318.39,1443.42,1606.84,1695.26,1978.35,2070.89,2556.74,3378,5361.92,25094.48,1151.4,1477.28,1757.72,1822.83,1905,2011.67,2235.71,2713.19,3225.14,6794.53,4.15,1.68,-2.41,2.69,0.21,8.16,19.01,6.17,19.71,14.28,-9.17,12.21,20.61,12.05,21.77,13.44,12.37,1.68,7.96,6.12,-4.53,26.72
73,Oriental Mindoro,37044.08,2261.37,2659.81,2660.6,3020.8,3127.13,3006.57,3534.36,3833.52,4758.88,8181.04,43595.31,1941.81,2419.38,2906.22,2929.87,3538.5,3610.78,4260.61,4647.5,6895.75,10444.9,43476.87,2373.44,3125.79,3120.54,3395.83,3871.96,3526.72,4314.55,4350.62,5317.14,10080.29,17.68,-14.13,-9.04,9.23,-3.01,13.15,20.1,20.55,21.23,44.9,27.67,-0.27,22.23,29.2,7.37,15.9,9.42,-2.33,1.27,-6.39,-22.89,-3.49
74,Palawan (Excluding City of Puerto Princesa),32694.37,2258.68,2605.99,2556.51,2736.06,2785.14,2854.04,3027.48,3538.94,3786.15,6545.37,36403.62,2138.75,2598.84,2672.63,2781.39,3017.4,3119.01,3450.08,3824.83,4032.29,8768.41,39237.59,2391.74,2692.36,2897.74,3032.29,3101.41,3085.33,4085.04,4007.34,4921.58,9022.76,11.35,-5.31,-0.27,4.54,1.66,8.34,9.28,13.96,8.08,6.5,33.96,7.78,11.83,3.6,8.42,9.02,2.78,-1.08,18.4,4.77,22.05,2.9
75,City of Puerto Princesa,16235.44,917.1,1080.5,1070.25,1173.25,1371.36,1448.36,1732.07,1928.84,2082.09,3431.63,14792.21,810.85,948.73,974.09,1165.55,1193.38,1231.62,1360.95,1702.21,2209.89,3194.94,19246.7,1132.03,1295.08,1396.81,1523.33,1599.07,1767.44,1783.94,2143.39,2643.24,3962.35,-8.89,-11.59,-12.2,-8.98,-0.66,-12.98,-14.96,-21.43,-11.75,6.14,-6.9,30.11,39.61,36.51,43.4,30.7,33.99,43.51,31.08,25.92,19.61,24.02
76,Romblon,10969.32,700.93,768.76,789.82,806.24,841.91,872.65,996.66,962.37,1368.42,2861.55,12596.83,747.57,838.55,908.45,964.43,970.43,1108.25,1051.81,1206.54,1692.02,3108.8,15187.03,1026.63,1129.94,1159.4,1100.77,1189.47,1163.73,1224.84,1451.34,1908.55,3832.36,14.84,6.65,9.08,15.02,19.62,15.27,27,5.53,25.37,23.65,8.64,20.56,37.33,34.75,27.62,14.14,22.57,5.01,16.45,20.29,12.8,23.27
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,REGION V - BICOL REGION,247625.66,14222.26,16531.35,17331.1,18181.32,19710.32,21328.93,22604.46,25572.13,32767.55,59376.24,254594.13,13865.03,16139.87,17842.09,18505.13,19892.27,21532.34,22613.89,27010.09,35943.02,61250.4,278383.88,16475.28,18575.46,19770.46,21213.48,21749.7,23023.41,25329.11,28773.84,37261.17,66211.96,2.81,-2.51,-2.37,2.95,1.78,0.92,0.95,0.04,5.62,9.69,3.16,9.34,18.83,15.09,10.81,14.64,9.34,6.92,12.01,6.53,3.67,8.1
79,Albay,58906.08,3631.57,3679.42,3835.31,4389.87,4832.14,4890.14,4928.14,6066.67,8760.69,13892.15,64677.91,3226.98,3761.65,4448.22,4629.22,5026.15,5384.46,5887.55,7100.21,9883.98,15329.5,67067.55,4133.67,4816.89,5053.51,5104.55,5609.55,5664.2,6137.41,7130.36,8893.65,14523.75,9.8,-11.14,2.23,15.98,5.45,4.01,10.11,19.47,17.04,12.82,10.35,3.69,28.1,28.05,13.61,10.27,11.61,5.2,4.24,0.42,-10.02,-5.26
80,Camarines Norte,24653.76,1508.92,1732.36,1920.69,1887.55,2011.8,2108.45,2309.22,2703.48,3324.31,5146.99,25695.69,1443.41,1819.41,1879.93,1830.99,2199.54,2144.31,2408.9,2723.29,3553.98,5691.92,28873.67,1881.76,2193.79,2356.28,2350.32,2411.83,2513.19,2887.33,2775.47,3404.64,6099.06,4.23,-4.34,5.02,-2.12,-3,9.33,1.7,4.32,0.73,6.91,10.59,12.37,30.37,20.58,25.34,28.36,9.65,17.2,19.86,1.92,-4.2,7.15
81,Camarines Sur,87153.07,4746.7,5805.31,6085.6,6306.91,6864.96,7618.88,8279.9,8921.69,11010.64,21512.47,85170.41,4617.48,5237.73,5817.79,6148.89,6662.9,7433.67,7552.52,9233.79,11881.16,20584.5,91363.08,4730.17,5353.47,5784.2,6357.15,6436.74,7327,8048,10369.73,14978.07,21978.55,-2.27,-2.72,-9.78,-4.4,-2.51,-2.94,-2.43,-8.78,3.5,7.91,-4.31,7.27,2.44,2.21,-0.58,3.39,-3.39,-1.43,6.56,12.3,26.07,6.77
82,Catanduanes,11515.71,716.61,771.02,858.89,864.58,962.5,1030.8,1034.69,1188.4,1579.89,2508.32,13002.41,698.81,813.64,856.49,912.65,968.66,1089.34,1122.26,1382.05,1831.03,3327.48,14070.15,751.37,829.72,928.26,1001.22,1056,1124.99,1239.21,1528.42,1962.4,3648.55,12.91,-2.48,5.53,-0.28,5.56,0.64,5.68,8.46,16.3,15.9,32.66,8.21,7.52,1.98,8.38,9.71,9.02,3.27,10.42,10.59,7.17,9.65
83,Masbate,30934.41,1931.51,2103.05,2283.15,2302.99,2636.04,2467.8,2730.76,3055.84,4007.66,7415.61,31078.68,1884.06,2144.17,2265.92,2358.21,2424.87,2583.79,2685.16,2826.46,3845.27,8060.77,38720.57,2577.33,2674.4,2726.31,3031.77,3093.28,3592.39,3409.08,3622.71,4736.69,9256.59,0.47,-2.46,1.96,-0.75,2.4,-8.01,4.7,-1.67,-7.51,-4.05,8.7,24.59,36.8,24.73,20.32,28.56,27.56,39.04,26.96,28.17,23.18,14.84
84,Sorsogon,34462.61,2025.6,2394.87,2524.23,2687.41,2830.5,2974.44,2860.8,3648.99,4395.73,8120.03,34969.02,2024.78,2489.02,2569.66,2735.77,2824.35,3088.81,3151.8,3448.15,4475.03,8161.65,38288.86,2564.12,2750.06,2906.18,2957.75,3227.17,3196.28,3383.8,3651.79,4719.21,8932.52,1.47,-0.04,3.93,1.8,1.8,-0.22,3.85,10.17,-5.5,1.8,0.51,9.49,26.64,10.49,13.1,8.11,14.26,3.48,7.36,5.91,5.46,9.44
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,REGION VI - WESTERN VISAYAS,226706.13,12609.23,14093.34,15259.66,15889.77,17110.92,17832.46,20038.37,24654.29,33250.28,55967.81,245333.69,11962.72,14487.25,15483.36,16740.9,17990.82,20237.48,22239.95,26731.52,36191.65,63268.04,278175.09,16903.28,18137.88,20210.35,22066.32,23104.13,23807.59,26339.52,29571.08,38670.12,59364.82,8.22,-5.13,2.79,1.47,5.36,5.14,13.49,10.99,8.43,8.85,13.04,13.39,41.3,25.2,30.53,31.81,28.42,17.64,18.43,10.62,6.85,-6.17
87,Aklan,32335.22,1805.09,2095.23,2328.56,2441.01,2476.48,2604.19,2935.77,3289.25,4505.06,7854.58,33353.31,1581.21,1853.57,2117.21,2355.2,2532.38,2602.85,2825.71,3427.93,4844.76,9212.49,39833.15,2719.2,2856.82,3052.02,3348.35,3502.99,3463.31,3558.81,4019.84,5658.37,7653.43,3.15,-12.4,-11.53,-9.08,-3.52,2.26,-0.05,-3.75,4.22,7.54,17.29,19.43,71.97,54.13,44.15,42.17,38.33,33.06,25.94,17.27,16.79,-16.92
88,Antique,22047.02,1474.61,1553.08,1549.07,1704.62,1795.07,1802.44,1904.74,2525.44,2534.99,5202.97,26031.99,1153.3,1463.78,1602.88,1751.3,2067.66,2158.26,2283.43,2873.02,3903.53,6774.82,32695.97,1844.25,2051.98,2247.2,2411.27,2603.34,2484.91,3159.69,3126.12,4616.31,8150.9,18.07,-21.79,-5.75,3.47,2.74,15.19,19.74,19.88,13.76,53.99,30.21,25.6,59.91,40.18,40.2,37.68,25.91,15.14,38.37,8.81,18.26,20.31
89,Capiz,38172.56,2468.24,2600.27,2798.65,2954.41,3126.22,3205.09,3512.63,3752.13,4678.59,9076.33,43058.67,2975.43,3330.76,3235.1,3578.34,3621.87,3758.54,4061.06,4320.12,5043.21,9134.24,49041.18,2976,3401.53,3940.12,4393.2,3958.04,4591.89,4623.86,5411.58,6074.59,9670.36,12.8,20.55,28.09,15.6,21.12,15.85,17.27,15.61,15.14,7.79,0.64,13.89,0.02,2.12,21.79,22.77,9.28,22.17,13.86,25.26,20.45,5.87
90,Iloilo (Excluding City of Iloilo),95791.39,5333.79,5839.17,5956.52,6587.46,6714.76,7197.76,8134.85,10686.21,15433.28,23907.6,106349.24,5157.17,6064.03,6026.87,6352.63,6943.16,8437.99,9633.59,12554.93,16697.91,28480.97,114046.22,7249.82,7605.95,7717.31,8553.68,8953.38,9840.83,10444.71,12608.8,15833.86,25237.87,11.02,-3.31,3.85,1.18,-3.56,3.4,17.23,18.42,17.49,8.19,19.13,7.24,40.58,25.43,28.05,34.65,28.95,16.63,8.42,0.43,-5.17,-11.39
91,City of Iloilo,29857.72,1597.65,1712.94,1947.64,2093.79,2206.05,2691.05,2906.38,3312.1,4258.95,7131.17,27010.65,1401.27,1541.49,1889.34,1907.99,2090.66,2201.96,2639.73,3167.15,3560.01,6611.04,30888.59,1963.61,2121.25,2284.09,2484.93,2601.42,2625.96,3011.18,3460.3,4316.43,6019.42,-9.54,-12.29,-10.01,-2.99,-8.87,-5.23,-18.17,-9.17,-4.38,-16.41,-7.29,14.36,40.13,37.61,20.89,30.24,24.43,19.26,14.07,9.26,21.25,-8.95
92,Guimaras,8502.22,557.59,691.83,673.02,686.93,749.46,766.77,758.72,816.25,976.03,1825.61,9529.83,549.13,664.92,658.6,704.02,718.44,709.99,892.81,962.86,1114.22,2554.84,11669.98,864.73,956.56,1003.8,1045.65,975.87,1016.62,1086.02,1086.71,1513.33,2120.7,12.09,-1.52,-3.89,-2.14,2.49,-4.14,-7.41,17.67,17.96,14.16,39.94,22.46,57.47,43.86,52.42,48.53,35.83,43.19,21.64,12.86,35.82,-16.99
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,NEGROS ISLAND REGION,201680.38,9640.88,11290.3,13307.4,13463.23,15000.81,16440.15,18688.83,23047,28957.24,51844.54,201311.17,9989.15,12290.02,13949.09,14546.81,15618.07,17136.88,19400.21,19718.61,30508.72,48153.6,240706.91,12631.82,14484.91,17321.21,18387.59,19470.52,21274.5,24166.42,26358.04,32259.9,54352,-0.18,3.61,8.85,4.82,8.05,4.11,4.24,3.81,-14.44,5.36,-7.12,19.57,26.46,17.86,24.17,26.4,24.67,24.14,24.57,33.67,5.74,12.87
95,Negros Occidental (Excluding City of Bacolod),104791.74,5586.68,6727.22,7490.15,8169.57,8449.4,9020.31,10143.51,11562.31,14331.52,23311.08,104920.66,6078.95,7305.15,8027.07,8434.1,8536.33,9558.91,10117.96,10587.56,12372.68,23901.95,133197.92,7760.79,8650.37,10239.53,10743.22,10695.6,11473.59,13230.57,14740.98,15478.05,30185.21,0.12,8.81,8.59,7.17,3.24,1.03,5.97,-0.25,-8.43,-13.67,2.53,26.95,27.67,18.41,27.56,27.38,25.3,20.03,30.76,39.23,25.1,26.29
96,City of Bacolod,39260.48,1966.67,2290.87,2497.82,2965.62,3155.63,3419.48,3541.24,4534.45,5724.3,9164.39,38221.19,2102.58,2434.46,2835.77,3041.4,3262.31,3441.69,3755.97,4175.49,5460.55,7710.97,43060.38,2525.44,3062.96,3356.72,3473.11,3953.84,4210.03,4376.91,5155,5784.46,7161.93,-2.65,6.91,6.27,13.53,2.56,3.38,0.65,6.06,-7.92,-4.61,-15.86,12.66,20.11,25.82,18.37,14.19,21.2,22.32,16.53,23.46,5.93,-7.12
97,Negros Oriental,53272,2333.75,2720.63,2942.17,3099.08,3486.77,3735.56,4361.47,5826.75,8188.15,16577.67,53161.16,2561.17,2869.02,3146.33,3493.5,3632.39,4322.02,4610.53,5080.22,8007.64,15438.35,58630.6,3224.92,3538.73,3694.45,4331.31,4499.05,4884.93,5250.97,6269.08,7284.62,15652.55,-0.21,9.74,5.45,6.94,12.73,4.18,15.7,5.71,-12.81,-2.2,-6.87,10.29,25.92,23.34,17.42,23.98,23.86,13.02,13.89,23.4,-9.03,1.39
98,Siquijor,4356.16,228.13,230.22,292.58,293.45,318.75,367.47,431.78,427.6,628.75,1137.44,5008.16,312.68,318.36,303.95,289.61,404.03,404.36,391.38,509.15,747.75,1326.87,5818,381.62,386.59,383.91,433.53,388.04,511.27,534.22,635.92,702.36,1460.55,14.97,37.06,38.29,3.89,-1.31,26.75,10.04,-9.36,19.07,18.93,16.65,16.17,22.05,21.43,26.31,49.69,-3.96,26.44,36.5,24.9,-6.07,10.08
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,REGION VII - CENTRAL VISAYAS,317733.85,15803,18981.78,20892.19,22807.58,25424.57,28199.43,32343.73,35992.49,44287.35,73001.72,323373.19,15194.59,18078.03,20443.99,23631.4,25080.86,27961.2,31902.1,38199.15,45559.01,77322.84,366428.72,21044.53,23996.25,25628.03,28455.47,31634.37,32956.22,36185.28,42296.38,48510.65,75721.55,1.77,-3.85,-4.76,-2.15,3.61,-1.35,-0.84,-1.37,6.13,2.87,5.92,13.31,38.5,32.74,25.36,20.41,26.13,17.86,13.43,10.73,6.48,-2.07
102,Bohol,61598.78,3238.27,3668.31,3867.23,3972.82,4272.28,4726.87,5852.82,6523.3,8827.14,16649.74,58389.47,2945.36,3590.47,4133.08,4039.71,4631.19,5039.06,5108.79,6444.34,8757.61,13699.88,64244.59,4001.66,4239.9,4664.39,4781.7,5200.79,5376.28,6183.28,6596.8,8354.28,14845.51,-5.21,-9.05,-2.12,6.87,1.68,8.4,6.6,-12.71,-1.21,-0.79,-17.72,10.03,35.86,18.09,12.86,18.37,12.3,6.69,21.03,2.37,-4.61,8.36
103,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),138700.38,7369.24,8742.34,9750.35,10433.69,11573.36,12639.21,14221.82,15011.34,18052.55,30906.48,140244.37,7018.35,8088.9,9097.36,9868.83,11218.58,11458.74,12687.43,16094.5,19170.94,35540.74,164560.6,10265.43,10939.12,12462.62,12761.73,13702.61,15543.95,15978.06,17955.4,21062.74,33888.93,1.11,-4.76,-7.47,-6.7,-5.41,-3.07,-9.34,-10.79,7.22,6.2,14.99,17.34,46.27,35.24,36.99,29.31,22.14,35.65,25.94,11.56,9.87,-4.65
104,City of Cebu,62828.04,3181.97,3842.86,4188.54,4452.41,5506.31,5757.7,6872.19,7456.84,8517.73,13051.49,60918.79,3397.02,3995.05,4677.28,4611.57,5137.5,6182.56,6072.94,6958.53,7701.29,12185.04,63359.62,4002.43,4667.64,5121.78,5316.87,5601.74,5875.84,6426.62,7040.94,7416.77,11888.99,-3.04,6.76,3.96,11.67,3.57,-6.7,7.38,-11.63,-6.68,-9.59,-6.64,4.01,17.82,16.84,9.5,15.29,9.04,-4.96,5.82,1.18,-3.69,-2.43
105,City of Lapu-Lapu (Opon),29026.09,1439.74,1848.39,1980.88,2391.07,2454.02,2713.82,2805.23,3384.41,4142.5,5866.03,35338.51,1747.25,2177.74,2403.53,2645.53,2811.03,3139.62,3491.81,3731.48,5045.39,8145.14,39238.98,2247.96,2676.16,3034,3129.89,3379.66,3688.41,4114.3,4259.27,5271.66,7437.67,21.75,21.36,17.82,21.34,10.64,14.55,15.69,24.47,10.25,21.8,38.85,11.04,28.66,22.89,26.23,18.31,20.23,17.48,17.83,14.14,4.48,-8.69
106,City of Mandaue ,25580.55,1588.06,1779.86,1853.29,2161.91,2286.24,2385.88,2491.07,2930.04,3032.64,5071.56,28482.06,1739.06,1897.35,2120.46,2176.45,2381,2534.45,2856.82,2902.59,3489.35,6384.52,35024.94,2145.14,2675.05,2861.36,3051.64,3225.31,3366.02,3569.76,3790.49,4182.16,6158,11.34,9.51,6.6,14.42,0.67,4.14,6.23,14.68,-0.94,15.06,25.89,22.97,23.35,40.99,34.94,40.21,35.46,32.81,24.96,30.59,19.86,-3.55
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,REGION VIII - EASTERN VISAYAS,189091.03,10477.73,11911.08,12691.25,12775.6,14153,15446.34,16129.16,19168.59,26085.44,50252.85,214388.77,10885.93,12722.31,13939.89,14857.58,15824.07,17502.3,18831.81,22207.3,30873.88,56743.69,236960.62,13795.74,15847.17,17015.23,17567.42,18954.71,19832.02,21119.82,23829.87,32258.23,56740.41,13.38,3.9,6.81,9.84,16.3,11.81,13.31,16.76,15.85,18.36,12.92,10.53,26.73,24.56,22.06,18.24,19.78,13.31,12.15,7.31,4.48,-0.01
109,Eastern Samar,18670.54,1174.88,1244.67,1363.19,1403.69,1570.78,1517.5,1537.16,1909,2386.18,4563.5,21069.98,1081.42,1144.2,1283.92,1399.81,1527.92,1643.68,1918.4,2339.32,3349.29,5382.03,26427.42,1683.68,1869.75,2055.3,2039.44,2004.93,2219.38,2314.64,2748.3,3457.23,6034.78,12.85,-7.95,-8.07,-5.82,-0.28,-2.73,8.31,24.8,22.54,40.36,17.94,25.43,55.69,63.41,60.08,45.69,31.22,35.03,20.65,17.48,3.22,12.13
110,Leyte (Excluding City of Tacloban),74120.48,4191.36,4902.35,4953.11,4802.61,5650.59,6027.21,6490.09,7169.49,9885.22,20048.45,89142.54,4439.84,5119.79,5737.49,6200.12,5961.99,7488.35,7885.02,9271.66,12752.46,24285.82,99936.93,5728.59,6595.73,7018.28,7602.86,7825.14,8237,8933.6,9666.16,13952.78,24376.78,20.27,5.93,4.44,15.84,29.1,5.51,24.24,21.49,29.32,29.01,21.14,12.11,29.03,28.83,22.32,22.62,31.25,10,13.3,4.25,9.41,0.37
111,City of Tacloban,15632.62,739.02,830.2,959.19,999.19,1085.18,1195.18,1574.02,1990.45,2415.65,3844.56,17192.61,781.91,897.46,981.31,1020.45,1083.83,1380.08,1560.91,2113.06,2690.19,4683.4,17292.93,936.26,1059.26,1152.55,1213.43,1268.83,1472.42,1577.88,2112.8,2505.66,3993.83,9.98,5.8,8.1,2.31,2.13,-0.12,15.47,-0.83,6.16,11.37,21.82,0.58,19.74,18.03,17.45,18.91,17.07,6.69,1.09,-0.01,-6.86,-14.72
112,Northern Samar,22868.03,1324.08,1376.72,1544.38,1622.93,1628.48,1854.85,1951.08,2220.23,3135.73,6209.54,24186.5,1358.84,1601.59,1735.3,1838.24,1965.48,2046.8,2039.73,2192.8,3195.1,6212.64,25733.69,1649.28,1844.13,1932.26,2168.71,2194.26,2323.17,2395.69,2728.16,3196.02,5302.01,5.77,2.63,16.33,12.36,13.27,20.69,10.35,4.54,-1.24,1.89,0.05,6.4,21.37,15.14,11.35,17.98,11.64,13.5,17.45,24.41,0.03,-14.66
