,"Table 4. Total Annual Family Expenditure, by Per Capita Income Decile and by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
113,Samar (Western Samar),30810.19,1724.7,2048.12,2223.61,2189.54,2235.52,2555.9,3060.17,2876.26,4215.93,7680.44,34055.13,1826.37,2198.75,2418.43,2653.66,2822.48,2843.31,3113.65,3565.14,4245.76,8367.57,35121.37,2091.77,2420.6,2572.24,2774.33,2851.84,2990.85,2967.33,3432.83,4442.7,8576.88,10.53,5.89,7.35,8.76,21.2,26.26,11.24,1.75,23.95,0.71,8.95,3.13,14.53,10.09,6.36,4.55,1.04,5.19,-4.7,-3.71,4.64,2.5
114,Southern Leyte,17711.54,1065.83,1228.16,1316.27,1369.71,1313.57,1456.56,1532.43,1864.14,2485.07,4079.81,19655.9,1147.56,1305.8,1393.51,1471.41,1498.09,1645.47,1763.62,2196.36,2701.99,4532.1,22651.62,1533.44,1535.41,1776.76,1768.62,1876.13,1836.34,2049.32,2336.57,2990.27,4948.77,10.98,7.67,6.32,5.87,7.42,14.05,12.97,15.09,17.82,8.73,11.09,15.24,33.63,17.58,27.5,20.2,25.23,11.6,16.2,6.38,10.67,9.19
115,Biliran,9277.63,499.8,579.38,598.51,607.95,638.53,674.94,776.94,914.38,1271.42,2715.78,9086.1,442.84,526.26,572.98,569.01,653.4,729.77,815.3,901.08,1434.08,2441.39,9796.66,603.83,663.96,684.97,711.29,725.98,717.57,816.43,1031.47,1398.21,2442.94,-2.06,-11.4,-9.17,-4.27,-6.41,2.33,8.12,4.94,-1.45,12.79,-10.1,7.82,36.36,26.17,19.54,25,11.11,-1.67,0.14,14.47,-2.5,0.06
116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,REGION IX - ZAMBOANGA PENINSULA,136256.38,7470.65,8435.24,9466.17,9607.43,10170.98,11389.28,12378.42,13557.75,19068.39,34712.05,145413.58,7387.41,8897.06,9752.8,10260.93,11226.33,12262.69,13106.35,15351.83,20205.79,36962.38,180240.2,9591.57,11214.88,12332.91,12984.99,14334.82,15390.22,17235.29,19229.71,23475.4,44450.42,6.72,-1.11,5.47,3.03,6.8,10.38,7.67,5.88,13.23,5.96,6.48,23.95,29.84,26.05,26.46,26.55,27.69,25.5,31.5,25.26,16.18,20.26
118,Zamboanga Del Norte,34991.27,1855.11,2136.4,2197.52,2479.74,2546.99,2617.92,3150.97,3443.43,4767.86,9795.32,37444.61,1983.74,2305.93,2402.21,2462.65,2582.78,2727.91,3020.22,3617.49,5179.92,11161.75,46661.26,2858.5,2979.5,3375.67,3524.82,3598.66,3775.43,3872.2,4455.27,5342.42,12878.8,7.01,6.93,7.94,9.31,-0.69,1.41,4.2,-4.15,5.05,8.64,13.95,24.61,44.1,29.21,40.52,43.13,39.33,38.4,28.21,23.16,3.14,15.38
119,Zamboanga Del Sur (Excluding City of Zamboanga),31026.98,1988.79,2229.2,2234.34,2553.46,2375.76,2492.84,2708.17,2903.95,3863.15,7677.31,38179.24,1919.06,2238.3,2532.98,2759.26,2882.02,3243.48,3464.5,3920.53,5335.02,9884.11,38077.71,2021.14,2450.47,2719.52,2646.7,2822.59,3159.03,3263.89,3795.34,5214.35,9984.69,23.05,-3.51,0.41,13.37,8.06,21.31,30.11,27.93,35.01,38.1,28.74,-0.27,5.32,9.48,7.36,-4.08,-2.06,-2.6,-5.79,-3.19,-2.26,1.02
120,City of Zamboanga,44186.38,2945.79,2937.65,3310.75,3453.58,3342.39,3660.34,3968.62,4829.6,6013.95,9723.7,40546.94,2759.88,2976.43,3210.91,3209.54,3445.31,3814.04,3840.81,4349.6,5111.82,7828.6,55249.61,3694.81,4176.31,4526.53,4611.74,4834.44,5262.88,5118.29,5746.99,6633.78,10643.83,-8.24,-6.31,1.32,-3.02,-7.07,3.08,4.2,-3.22,-9.94,-15,-19.49,36.26,33.88,40.31,40.97,43.69,40.32,37.99,33.26,32.13,29.77,35.96
121,Zamboanga Sibugay,22133.77,1341.08,1425.72,1476.14,1651.89,1589.88,1743.82,1800.62,2090.32,2872.89,6141.4,25359.47,1291.96,1539.71,1494.37,1704.29,1751.51,1902.59,2215.47,2392.47,3387.91,7679.2,34210,1944.7,2152.13,2237.5,2286.33,2398.07,2594.09,2982.42,3490.63,4559.53,9564.59,14.57,-3.66,8,1.23,3.17,10.17,9.1,23.04,14.45,17.93,25.04,34.9,50.52,39.78,49.73,34.15,36.91,36.35,34.62,45.9,34.58,24.55
122,Isabela City,3917.99,270.44,284.33,284.49,301.92,287.48,316.93,325.21,399.21,602.77,845.19,3883.32,282.17,301.52,332.28,355.74,347.22,367.97,376.99,363.57,520.71,635.15,6041.62,437.07,440.59,465.35,497.02,477.91,496.01,552.09,680.62,799.83,1195.13,-0.88,4.34,6.05,16.8,17.83,20.78,16.1,15.92,-8.93,-13.61,-24.85,55.58,54.89,46.12,40.05,39.71,37.64,34.8,46.45,87.21,53.61,88.16
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,REGION X - NORTHERN MINDANAO,195666.09,10499.88,11591.12,12301.47,13186.52,14409.78,15962.75,18214.26,20954.3,28072.69,50473.31,209249.85,10101.51,12375.52,13485.99,14764.31,15739.21,17203.44,19861.62,22465.34,30001.65,53251.26,250318.22,13585.36,15858.68,17347.07,18481.48,19783.97,20908.24,23634,26781.32,33002.6,60935.49,6.94,-3.79,6.77,9.63,11.97,9.23,7.77,9.04,7.21,6.87,5.5,19.63,34.49,28.15,28.63,25.18,25.7,21.54,18.99,19.21,10,14.43
125,Bukidnon,46405.03,2813.17,3095.73,3109.78,3390.31,3575.5,3882.33,4188.04,5072.26,5844.86,11433.05,52078.82,2622.59,3172.6,3414.23,3401.32,3828.84,4458.99,4690.4,5734.09,7198.92,13556.83,54113.81,3599.78,3769.35,4263.33,4385.69,4708.88,4970.55,5366.2,5573.95,6421.05,11055.04,12.23,-6.77,2.48,9.79,0.32,7.09,14.85,12,13.05,23.17,18.58,3.91,37.26,18.81,24.87,28.94,22.98,11.47,14.41,-2.79,-10.81,-18.45
126,Camiguin,4097.34,227.26,278.82,285.44,292.56,313.85,358.1,435.18,439.98,538.14,928.02,4501.33,212.46,278.43,322.72,295.89,334.84,365.62,388.79,471.97,630.37,1200.24,5169.83,312.71,369.54,355.52,398.39,411,418.02,493.12,519.52,751.57,1140.43,9.86,-6.51,-0.14,13.06,1.14,6.69,2.1,-10.66,7.27,17.14,29.33,14.85,47.19,32.72,10.16,34.64,22.75,14.33,26.83,10.08,19.23,-4.98
127,Lanao Del Norte (Excluding City of Iligan),20314.06,1473.57,1504.49,1601.35,1572.44,1683.62,1715.37,1721.86,1918,2416.49,4706.87,18950.7,1198.99,1350.29,1435.79,1486.67,1498.45,1650.68,1754.72,2048.68,2292.41,4234.02,30848.2,1727.81,1937.29,2086.05,2208.17,2477.78,2312.46,2605.58,3047.05,4016.84,8429.17,-6.71,-18.63,-10.25,-10.34,-5.45,-11,-3.77,1.91,6.81,-5.13,-10.05,62.78,44.11,43.47,45.29,48.53,65.36,40.09,48.49,48.73,75.22,99.08
128,City of Iligan,16464.45,795.32,972.71,1084.43,1144.13,1389.15,1393.9,1677.72,1883.87,2378.24,3744.97,16232.7,855.3,1022.46,1108.62,1219.85,1246.38,1517.42,1692.35,1824.65,2273.52,3472.15,23660.49,1071.8,1515.14,1481,1680.22,1724.16,2098.99,2303.63,2600.81,3364.22,5820.53,-1.41,7.54,5.11,2.23,6.62,-10.28,8.86,0.87,-3.14,-4.4,-7.28,45.76,25.31,48.19,33.59,37.74,38.33,38.33,36.12,42.54,47.97,67.63
129,Misamis Occidental,24605.27,1405.83,1533.3,1683.27,1704.05,1806.54,2030.49,2079.72,2586.64,3605.62,6169.81,30276.61,1682.16,1999.74,2084.68,2430.13,2218.41,2329.23,2578.41,3025.9,4111.64,7816.3,35931.04,1754.37,2231.35,2225.73,2457.26,2647.7,2794.28,2941.28,3596.92,5126.02,10156.15,23.05,19.66,30.42,23.85,42.61,22.8,14.71,23.98,16.98,14.03,26.69,18.68,4.29,11.58,6.77,1.12,19.35,19.97,14.07,18.87,24.67,29.94
130,Misamis Oriental (Excluding City of Cagayan de Oro),35990.13,1925.34,2210.39,2363.13,2612.26,2848.07,3110.4,3607.99,3813.51,4808.89,8690.14,38093.25,2056.75,2480.03,2627.37,2834.48,3056.02,3208.08,3628.22,3917.64,5012.46,9272.21,46424.49,2956.09,3253.8,3465.3,3527.93,3919.98,3900,4337.17,4850.83,6214.03,9999.36,5.84,6.83,12.2,11.18,8.51,7.3,3.14,0.56,2.73,4.23,6.7,21.87,43.73,31.2,31.89,24.46,28.27,21.57,19.54,23.82,23.97,7.84
131,City of Cagayan de Oro,47789.81,2112.08,2582.48,2904.43,3168.45,3695.92,4017.91,4661.85,5454.02,7087.23,12105.43,49116.43,2507.89,2790.54,3037.47,3329.96,3985.06,4287.48,5183.77,5605.94,7088.85,11299.48,54170.34,3143.71,3528.33,3905.86,3988.38,4421.62,5231.44,5187.45,5735.79,6752.54,12275.22,2.78,18.74,8.06,4.58,5.1,7.82,6.71,11.2,2.79,0.02,-6.66,10.29,25.35,26.44,28.59,19.77,10.95,22.02,0.07,2.32,-4.74,8.64
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,REGION XI - DAVAO REGION,246090.74,12528.29,14914.28,17031.41,17855.58,20234.98,21721.77,24302.94,28202.12,35109.8,54189.56,256249.82,13004.76,15943.96,17632.46,18645.25,20455.73,22102.44,24235.71,28454.59,35361.35,60413.57,300246.1,16312.05,19566.39,20814.9,22666.2,24691.34,26240.33,28994.74,33254.06,41106.66,66599.42,4.13,3.8,6.9,3.53,4.42,1.09,1.75,-0.28,0.9,0.72,11.49,17.17,25.43,22.72,18.05,21.57,20.71,18.72,19.64,16.87,16.25,10.24
134,Davao Del Norte,45719.27,2764.48,3420.62,3477.33,3958.75,3858.86,4215.47,4409.27,5156.41,5372.22,9085.85,45932.28,2668.53,3263.93,3456.47,3659.85,3988.57,3955.03,4506.15,4729.97,5787.92,9915.86,57132.86,3517.73,4257.83,4496.54,5011.69,5133.46,5182.23,5812.74,6242.23,6986.82,10491.58,0.47,-3.47,-4.58,-0.6,-7.55,3.36,-6.18,2.2,-8.27,7.74,9.14,24.38,31.82,30.45,30.09,36.94,28.7,31.03,29,31.97,20.71,5.81
135,Davao Del Sur (Excluding City of Davao),27518.29,1648.56,1859.07,2037.43,1948.96,2325.56,2326.39,2592.09,2822.78,3546.87,6410.58,32004.2,1679.77,2045.79,2265.48,2457,2562.43,2748.83,2976.63,3164.63,4050.46,8053.17,39081.79,2339.66,2742.19,2920.8,2854.69,3281.39,3444.64,3608.81,3869.89,5112.15,8907.58,16.3,1.89,10.04,11.19,26.07,10.19,18.16,14.84,12.11,14.2,25.62,22.11,39.28,34.04,28.93,16.19,28.06,25.31,21.24,22.29,26.21,10.61
136,City of Davao,115766.66,5996.51,7436.08,8741.87,8961.95,9850.58,10853.77,11690.2,13479.87,15742.81,23013.02,119440.92,6206.55,7426.59,8215.25,8737.47,9523.15,10270.41,12054.63,14079.69,15399.15,27528.04,134552.91,5850.91,7599.71,8952.48,10553.61,11255.05,12263,13499.08,16279,17281.31,31018.75,3.17,3.5,-0.13,-6.02,-2.5,-3.32,-5.37,3.12,4.45,-2.18,19.62,12.65,-5.73,2.33,8.97,20.79,18.19,19.4,11.98,15.62,12.22,12.68
137,Davao Oriental,22532.51,1588.66,1640.82,1795.43,1769.28,1746.85,1839.7,1952.81,2202.56,2920.08,5076.33,22028.94,1507.38,1754.98,1778.74,1741.49,1723.62,1886.25,1944.4,2162.56,2588.53,4940.99,24348.25,1904.5,1937.54,2051.29,1994.64,2144.12,2052.46,2188.88,2419.96,2807.36,4847.5,-2.23,-5.12,6.96,-0.93,-1.57,-1.33,2.53,-0.43,-1.82,-11.35,-2.67,10.53,26.35,10.4,15.32,14.54,24.4,8.81,12.57,11.9,8.45,-1.89
138,Davao De Oro,25543.53,1664.68,1880.67,1937.66,2095.05,2147.67,2499.53,2526.04,2740.22,2965.17,5086.84,26202.86,1642.6,1804.69,2070.73,2087.86,2329.05,2548.47,2608.59,2550.78,3457.47,5102.63,32208.53,2197.25,2361.61,2543.4,2620.1,2731.13,2689.56,2767.15,3253.89,3850.74,7193.71,2.58,-1.33,-4.04,6.87,-0.34,8.45,1.96,3.27,-6.91,16.6,0.31,22.92,33.77,30.86,22.83,25.49,17.26,5.54,6.08,27.56,11.37,40.98
139,Davao Occidental,9010.49,587.56,692.84,640.34,745.33,795.01,763.93,844.25,873.3,1076.7,1991.24,10640.62,564.54,672.25,759.59,860.65,862.78,909.63,992.72,1037.47,1333.25,2647.76,12921.76,807.75,968.27,975.03,1025.91,1122.33,1170.59,1174.47,1185.36,1543.33,2948.72,18.09,-3.92,-2.97,18.62,15.47,8.52,19.07,17.59,18.8,23.83,32.97,21.44,43.08,44.04,28.36,19.2,30.08,28.69,18.31,14.25,15.76,11.37
140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,REGION XII - SOCCSKSARGEN1/,194303.98,10077.56,12540.78,14172.38,14479.94,16443.78,17827.94,18613.21,21559.24,26289.22,42299.94,198493.8,10045.32,11506.72,13030.8,14270.08,15291.14,16715.09,18658.88,22536.38,26833.4,49605.99,230268.47,13051.38,14572.84,15567.47,16959.46,18066.32,19534.43,22201.42,25566.12,29111.82,55637.21,2.16,-0.32,-8.25,-8.05,-1.45,-7.01,-6.24,0.25,4.53,2.07,17.27,16.01,29.92,26.65,19.47,18.85,18.15,16.87,18.99,13.44,8.49,12.16
142,Cotabato (North Cotabato),61537.42,3460.92,4109.97,4761.69,4674.82,5330.03,5732.95,5813.14,6796.1,8197.91,12659.89,64919.28,3775.54,4113.84,4361.14,4845.81,5083.3,5430.33,6065.13,7484.47,8714.27,15045.46,73910.76,4297.15,5008.28,5012.33,5710.32,5806.05,6033.77,7146.23,8008.44,9147.15,17741.04,5.5,9.09,0.09,-8.41,3.66,-4.63,-5.28,4.33,10.13,6.3,18.84,13.85,13.82,21.74,14.93,17.84,14.22,11.11,17.82,7,4.97,17.92
143,South Cotabato (Excluding City of General Santos),48307.77,2469.46,2940.79,3307.95,3784.1,3827.61,4386.21,4556.99,5286.47,6695.19,11053,49702.25,2013.19,2595.91,3103.17,3379.06,3813.35,4441.75,5069.73,5130.22,7049.98,13105.89,53683.65,2858.1,3317.55,3768.35,4096.51,4414.43,4681.05,5009.85,5969.41,6590.66,12977.74,2.89,-18.48,-11.73,-6.19,-10.7,-0.37,1.27,11.25,-2.96,5.3,18.57,8.01,41.97,27.8,21.44,21.23,15.76,5.39,-1.18,16.36,-6.52,-0.98
144,City of General Santos (Dadiangas),36298.55,2044.67,2448.2,2736.06,2999.62,3051.59,3201.13,3446.87,4059.73,5040.62,7270.07,33775.44,1750.47,2099.72,2205.43,2453.16,2683.82,3024.62,3203.93,3568.33,4689.12,8096.85,42106.89,2445.76,2794.6,3168.66,3052.02,3508.27,3768.58,4307.81,4459.24,5691.26,8910.69,-6.95,-14.39,-14.23,-19.39,-18.22,-12.05,-5.51,-7.05,-12.1,-6.97,11.37,24.67,39.72,33.09,43.68,24.41,30.72,24.6,34.45,24.97,21.37,10.05
145,Sultan Kudarat,29873.57,1944.15,2263.39,2369.36,2440.78,2308.16,2837.13,2782.41,3155.94,3915.99,5856.25,30359.73,1647.11,1819.31,2028.43,2367.03,2389.06,2457.83,2747.63,3237.84,4535.79,7129.71,36586.14,2059.53,2393.34,2560.78,2764.62,2771.62,2974.88,3278.69,3933.71,4516.03,9332.95,1.63,-15.28,-19.62,-14.39,-3.02,3.5,-13.37,-1.25,2.59,15.83,21.75,20.51,25.04,31.55,26.24,16.8,16.01,21.04,19.33,21.49,-0.44,30.9
146,Sarangani,18286.670165227195,935.8320028741002,1138.6729291878,1302.1737966003,1454.2580577035,1536.2048883185998,1725.5487544393006,1844.9991378610998,2027.2890308728001,2336.1961301586994,3985.4954372110005,19737.09,1094.59,1203.9,1394.53,1495.54,1634.86,1650.59,1844.46,1981.31,2346.51,5090.8,23981.03,1444.93,1702.96,1788.69,1936.43,2065.17,2062.79,2230.74,2557.17,3309.79,4882.38,7.9315688513419635,16.964369313971606,5.728341224264066,7.092463666587556,2.838694417254284,6.42200219720559,-4.344053116230717,-0.029221577942029064,-2.268005704791143,0.4414813340436474,27.73317847686405,21.5,32.01,41.45,28.26,29.48,26.32,24.97,20.94,29.06,41.05,-4.09
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,CARAGA,115658.98,6216.6,7222.8,7831.7,8287.44,8697.75,9244.48,10358.61,11725.79,14872.88,31200.93,131595.08,6560.33,7729.18,8161.8,8827.73,9592.98,10612.4,11644.34,13386.37,18602.14,36477.82,147924.17,8649.32,9921.25,10631.84,11449.64,12064.54,12684.39,13493.25,15501.77,19053.42,34474.77,13.78,5.53,7.01,4.21,6.52,10.29,14.8,12.41,14.16,25.07,16.91,12.41,31.84,28.36,30.26,29.7,25.76,19.52,15.88,15.8,2.43,-5.49
149,Agusan Del Norte (Excluding City of Butuan),13787.44,787.25,935.59,998.62,1006.15,1051.75,1232.67,1258.14,1529.54,1714.07,3273.67,17452.02,858.56,1054.17,1162.05,1174.72,1281.72,1411.55,1683.73,1753.88,2471.94,4599.7,19890.87,1127.49,1339.07,1386.18,1606.33,1720.5,1763.71,2017.2,2117.46,2633.68,4179.26,26.58,9.06,12.67,16.37,16.75,21.87,14.51,33.83,14.67,44.21,40.51,13.97,31.32,27.03,19.29,36.74,34.23,24.95,19.81,20.73,6.54,-9.14
150,City of Butuan,19272.17,888.45,1008.67,1218.53,1292.55,1362.48,1654.94,1779.33,2132.73,2815.64,5118.85,22613.58,914.57,1094.27,1226.17,1387.24,1649.23,1882.26,2079.09,2421.21,3614.8,6344.73,26530.54,1168.31,1453.08,1742.81,1856.36,1967.95,2086.14,2644.4,3330.31,3882.56,6398.62,17.34,2.94,8.49,0.63,7.33,21.05,13.74,16.85,13.53,28.38,23.95,17.32,27.74,32.79,42.13,33.82,19.33,10.83,27.19,37.55,7.41,0.85
151,Agusan Del Sur,28776.45,1543.57,1775.32,1884.62,1966.03,2213.63,2264.33,2454.63,2720.11,3599.26,8354.95,33845.62,1753.29,2067.45,2044.72,2298.92,2475.96,2739.31,3018.23,3359.98,4245.84,9841.92,36547.57,2174.36,2515.58,2668.02,2745.61,2947.5,3113.44,3410.48,3503.38,4503.23,8965.97,17.62,13.59,16.46,8.5,16.93,11.85,20.98,22.96,23.52,17.96,17.8,7.98,24.02,21.68,30.48,19.43,19.04,13.66,13,4.27,6.06,-8.9
152,Surigao Del Norte,24176.44,1346.33,1639.61,1621.83,1727.37,1952.79,1924.72,2190.52,2459.87,2974.85,6338.57,25096.43,1349.01,1506.46,1663.62,1761.66,1893.78,2014.78,2134.82,2626.96,3581.33,6564,28490.54,1632.42,1827.01,2147.29,2107.13,2379.21,2295.8,2633.98,2911.98,3831.65,6724.09,3.81,0.2,-8.12,2.58,1.99,-3.02,4.68,-2.54,6.79,20.39,3.56,13.52,21.01,21.28,29.07,19.61,25.63,13.95,23.38,10.85,6.99,2.44
153,Surigao Del Sur,25109.18,1468.87,1646.85,1850.37,1765.7,1844.9,2101.41,2172.72,2488,3081.76,6688.59,27979.54,1470.23,1714.89,1749.87,2000.44,2137.04,2170.26,2394.72,2815.37,3964.35,7562.37,31093.45,2271.51,2360.47,2517.49,2654.14,2776.87,2744.17,3018.1,3091.47,3630.03,6029.21,11.43,0.09,4.13,-5.43,13.29,15.84,3.28,10.22,13.16,28.64,13.06,11.13,54.5,37.65,43.87,32.68,29.94,26.44,26.03,9.81,-8.43,-20.27
154,Dinagat Islands,4537.3,288.69,359.66,351.75,377.02,364.33,396.75,372.81,410.58,546.88,1068.82,4607.89,228.18,290.18,261.55,328.71,335.63,373.37,432.73,484.45,590.88,1282.21,5371.21,318.04,366.86,391.43,408.08,409.85,486.98,504.53,545.19,665.57,1274.69,1.56,-20.96,-19.32,-25.64,-12.81,-7.88,-5.89,16.07,17.99,8.05,19.97,16.57,39.38,26.42,49.66,24.14,22.11,30.43,16.59,12.54,12.64,-0.59
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,93993.4,8155.55,8567.08,8366.68,8475.19,8624.17,8700.86,8744.6,9063.63,10090.02,15205.63,116020.07,7683.1,8727.47,9777.25,10843.97,11354.88,11673.42,12275.58,12136.83,12669.29,18878.28,141398.46,10893.33,12114.05,13801.65,13681.28,14325.67,14183.07,13798.37,14130.29,14651.1,19819.64,23.43,-5.79,1.87,16.86,27.95,31.66,34.16,40.38,33.91,25.56,24.15,21.87,41.78,38.8,41.16,26.16,26.16,21.5,12.41,16.42,15.64,4.99
157,Basilan,7825.78,647.09,666.38,661.31,732.87,704.39,686.64,748.02,739.67,892.1,1347.31,8107.23,588.88,631.65,652.66,670.32,709.23,751.53,725.51,765.16,885.28,1727.02,10806.99,995.51,963.4,1004.48,1080.99,1000.88,1062.51,979.32,1019.8,1118.53,1581.57,3.6,-9,-5.21,-1.31,-8.53,0.69,9.45,-3.01,3.45,-0.76,28.18,33.3,69.05,52.52,53.91,61.26,41.12,41.38,34.98,33.28,26.35,-8.42
158,Lanao Del Sur,22552.25,1896.36,2010.46,2071.4,1984.65,2052.65,2159.97,2126.11,2103.75,2356.99,3789.91,38861.19,3871.95,4077.21,3839.47,3768.46,3843.16,3840.32,3618.37,3608.16,3583.64,4810.44,40314.17,3797.53,3919.63,3808.58,3778.6,3814.46,3642.4,3560.83,3742.08,3933.59,6316.48,72.32,104.18,102.8,85.36,89.88,87.23,77.8,70.19,71.51,52.04,26.93,3.74,-1.92,-3.86,-0.8,0.27,-0.75,-5.15,-1.59,3.71,9.77,31.31
159,Maguindanao ,29572.52491331862,2474.9351172368,2665.010379045199,2655.9837318175,2649.5384947914,2862.5624193978006,2933.2072757036,2864.6397822776994,2806.5133770563,3179.3151090764,4480.8192269159,30507.11,2250.77,2516.38,2526.3,2659.3,2863.34,2881.08,3063.22,3058.89,3285.29,5402.55,35382.66,3148.95,3273.29,3241.24,3356.39,3439.23,3455.46,3438.99,3509.11,3655.75,4864.25,3.16,-9.06,-5.58,-4.88,0.37,0.03,-1.78,6.93,8.99,3.33,20.57,15.98,39.91,30.08,28.3,26.21,20.11,19.94,12.27,14.72,11.28,-9.96
160,Maguindanao del Norte,,,,,,,,,,,,,,,,,,,,,,,18247.02,1662.01,1721.97,1717.93,1770.73,1823.24,1762.62,1816.49,1814.82,1835.63,2321.58,,,,,,,,,,,,,,,,,,,,,,
161,Maguindanao del Sur,,,,,,,,,,,,,,,,,,,,,,,17135.64,1486.94,1551.33,1523.3,1585.66,1615.99,1692.84,1622.49,1694.3,1820.12,2542.67,,,,,,,,,,,,,,,,,,,,,,
162,Sulu,15861.54,1752.63,1691.05,1626.84,1609.2,1604.51,1544.4,1480.72,1470.96,1427.67,1653.55,17810.09,1516.08,1788.67,1760.05,1816.94,1754.48,1787.12,1729.38,1695.91,1787.39,2174.07,25684.03,2222.67,2416.15,2355.71,2374.13,2407.44,2253.53,2599.46,2613.72,2866.55,3574.68,12.28,-13.5,5.77,8.19,12.91,9.35,15.72,16.79,15.29,25.2,31.48,44.21,46.61,35.08,33.84,30.67,37.22,26.1,50.31,54.12,60.38,64.42
163,Tawi-Tawi,7472.14,783.27,727.42,679.94,704.41,676.21,674.75,670.62,716.19,815.79,1023.55,9000.08,715.09,798.66,780.96,819.05,855.06,868.2,864.98,947.16,982.04,1368.89,8917.56,735.87,787.98,815.4,888.5,899.54,915.5,889.86,966.87,978.09,1039.96,20.45,-8.7,9.79,14.86,16.28,26.45,28.67,28.98,32.25,20.38,33.74,-0.92,2.91,-1.34,4.41,8.48,5.2,5.45,2.88,2.08,-0.4,-24.03
164,Cotabato City,10709.158351205002,825.5517703881001,838.201325351,898.7046586606002,902.5092185762999,872.3705787449,923.1382696487,980.8768677614001,1174.5961800457997,1369.8334634413,1923.3760185869003,11734.37,782.01,839.55,860.47,981.55,1018.94,1024.11,1044.24,1191.32,1377.79,2614.39,13286.8,1058.4,1134.59,1155.6,1138.69,1165.28,1241.68,1241.09,1421.76,1487.26,2242.44,9.573223358674499,-5.274262856662604,0.1609010399065136,-4.25441865602253,8.75789186379572,16.80127973435017,10.937877203349466,6.459845707566747,1.42379315021679,0.5808396984777753,35.927139297535064,13.229768619874772,35.34353780642192,35.142635935918044,34.29869722361034,16.00937293056901,14.361984022611729,21.244788157522155,18.8510304144641,19.343249504751036,7.945332743015987,-14.227028102157668
165,"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,p - Estimates are preliminary and may change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,Details may not add up to total due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
