,"Table 4a. Coefficient of Variation of the Total Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
0,Region/Province/HUC,2018,,,,,,,,,,,2021,,,,,,,,,,,2023p,,,,,,,,,,
1,,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile,All Income Groups,1st Decile,2nd Decile,3rd Decile,4th Decile,5th Decile,6th Decile,7th Decile,8th Decile,9th Decile,10th Decile
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,PHILIPPINES,0.84,1.45,1.35,1.41,1.47,1.48,1.56,1.6,1.61,1.86,2.52,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.7,1.2,0.79,1.54,1.32,1.29,1.37,1.41,1.45,1.43,1.54,1.84,2.6
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,NATIONAL CAPITAL REGION,1.8,4.36,3.77,3.92,3.66,3.59,4.01,4.17,3.85,4.45,6.18,1.3,1,1.1,1.4,1.2,1.3,1.5,1.2,1.6,1.7,4.4,1.76,3.8,3.67,3.44,3.35,3.13,3.45,3.46,3.41,4.14,7.63
6,NCR I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,City of Manila,4.44,14.08,9.28,10.95,10.52,9.22,9.82,9.93,10.48,11.65,12.37,2.5,3.2,4.4,3.5,3.5,4,4.3,3.5,3.9,4.5,8.3,4.11,13.67,11.04,11.88,10.36,9.92,11.2,10.33,11.66,12.65,16.04
8,NCR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,City of Mandaluyong,9.14,13.8,12.35,12.41,11.64,11.81,12.26,12.54,14.43,19.39,29.19,4.4,4,3.7,3.5,4.1,4,5.7,5.1,6.1,5.9,7.5,7.67,11.57,11.04,10.72,10.34,9.16,10.78,13.13,27.89,28.32,19.39
10,City of San Juan,6.18,20.7,16.7,17.24,17.56,20.78,14.89,20.38,16.03,20.33,24.39,4.9,7.7,6.5,6.2,7,7.2,6.9,10.9,9.4,9.5,11,13.57,20.18,19.35,16.51,16.92,21.6,18.07,43.12,20.25,40.03,32.9
11,Quezon City,5.12,11.66,10.67,12.31,11.03,10.97,11.64,13.03,12.83,14.64,17.62,3.5,2.6,2.9,4.6,3.3,3.3,5.4,4.3,5,4.9,9.3,4.37,10.74,11.41,9.3,10.79,9.63,10.37,10.48,10.6,11.06,19.19
12,City of Marikina,5.41,11.45,11.37,10.9,11.48,12.06,11.39,13.9,12.57,14.91,18.46,4.2,2.7,3.4,3,4.3,3.4,3.8,4.7,4.8,5.4,7.5,5.12,11.09,10.57,9.81,11.25,9.54,10.68,12.94,11.25,12.62,16.26
13,City of Pasig,5.51,13.79,10.85,12.18,11.97,13.73,10.77,11.26,12.7,13.36,17.26,3.1,2.7,2.8,3.5,3.1,4.3,4.2,3.3,4.8,5.6,6.2,5.31,13.26,11.75,10.27,10.4,10.63,11.2,10.49,10.81,12.8,19.64
14,NCR III,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,City of Caloocan,6.31,13.13,12.64,11.73,12.56,11.82,12.98,10.47,11.43,12.57,13.88,2.5,3.3,2.7,2.8,3.3,3.9,2.8,3.6,2.9,4.2,6.5,4.33,9.74,11.1,8.55,9.61,9.59,9.15,9.38,9.72,10.77,12.7
16,City of Malabon,4.59,11.65,9.78,11.48,11.31,9.57,9.91,11.67,11.29,10.61,10.69,2.7,2.9,2.7,2.9,3.4,3.4,3.5,3.2,3.5,4.5,6.3,4.64,10.53,10.45,9.68,8.52,9.53,10.39,10.56,12.01,11.09,15.8
17,City of Navotas,6.47,17.47,16.89,12.4,9.32,11.43,13.17,9.77,10.64,10.37,11.38,2.1,2.6,3.1,2.8,3,2.8,3,3.5,3.7,4,5.1,3.82,11.45,8.71,9.67,9.54,8.08,8.55,9.42,9.97,10.39,12.02
18,City of Valenzuela,5.29,13.12,11.91,9.15,11.96,11.13,11.59,10.88,9.5,9.32,20.32,2.9,3.1,2.9,3,3.3,3.6,3.9,3.8,3.7,4.9,8.7,4.46,11,10.26,9.82,9.38,9.38,9.23,10.16,9.51,11.29,11.97
19,NCR IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,City of Las Piñas,5.89,14.2,11.65,11.15,11.9,11.9,11.79,13.5,12.63,15.32,19.59,3.8,3.3,2.2,3,3.3,3.5,4,4.2,5,5,6.8,5.25,14.75,11.94,11.48,11,10.15,10.39,10.16,11.16,13.37,21.62
21,City of Muntinlupa,8.66,14.15,20.26,12.4,10.2,9.9,11.77,10.73,11.26,14.29,35.43,2.8,2.9,3.6,2.8,2.6,3.1,3.2,3,3.8,4.9,6.4,3.87,12.52,10.36,10.38,10.34,9.79,8.99,10.78,10.62,11.03,14.78
22,City of Parañaque,6.43,14.06,13.5,12.82,16.66,40.81,11.94,14.01,11.48,17.23,20.5,5.7,2.9,4.3,4.1,3.6,4,3.4,5,5.1,6.6,8.7,5.57,12.67,11.89,11.28,9.67,11.73,10.75,10.2,10.95,17.39,19.67
23,Pasay City,4.61,12.37,12.83,11.24,10.96,11.2,11.04,10.31,11.76,12.02,12.52,2.5,4.2,2.8,2.8,3.9,3.5,4.2,4.2,4.6,4.6,5.4,5.19,14.19,12.2,13.72,10.26,10.72,11.08,11.07,11.38,12.64,17.07
24,City of Makati,7.37,15.22,16.63,13.59,11.51,12.19,12.62,13.46,14,16.97,27.31,10,3.4,4.3,4.4,3,4.6,6.6,6.3,6.5,6.5,28.8,11.84,13.42,12.19,13.76,12.28,14.93,12.93,13.48,13.77,21.91,37.02
25,Pateros,8.65,30.26,20.76,21.05,20.23,19.4,17.71,16.09,19.7,16.34,19.16,3.6,3.4,4.3,5.8,6.4,5.2,4.5,6.6,8.3,8.2,9.6,6.64,14.63,20.15,17.59,16.46,18.48,15.15,14.33,17.24,17.12,17.8
26,City of Taguig,5.96,15.87,12.14,12.45,11.84,10.38,14.31,13.1,15.73,13.65,13.91,2.7,3.7,3.5,3.5,3.8,3.6,4.1,3.8,3.8,4.7,7.3,8.35,10.76,9.59,10.11,10.49,10.95,10.71,9.1,9.43,11.5,38.9
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,CAR - CORDILLERA ADMINISTRATIVE REGION,2.56,5.47,4.52,4.72,4.65,4.79,5.15,5.1,5.23,6.31,6.63,1.5,1.7,1.8,1.7,1.9,2.1,1.9,2.4,2.1,2.3,3,2.38,4.94,4.71,4.43,4.41,5.06,4.7,5.2,5.26,5.83,6.59
29,Abra,6.18,11.86,12.53,9.77,9.7,11.43,10.52,9.21,12.53,12.84,14.59,3.7,3.7,3.9,3.6,3.7,4.2,4.9,4.1,4.3,4.6,6.3,5.04,12.96,8.94,9.49,10.08,10.95,8.16,10.68,10.27,10.68,12.55
30,Benguet (Excluding City of Baguio),6.35,14.54,11.75,11.82,11.31,11.83,10.95,11.19,11.22,14.67,16.11,3.5,3.8,3.7,4.3,4.5,4.1,4,5.5,4.6,5.3,7.2,5.95,13.75,13.13,10.4,9.52,10.76,11.36,11.85,13.75,13.1,15.68
31,City of Baguio,4.61,11.29,10.39,10.99,10.02,10.76,11.36,9.63,12.73,12.36,11.62,2.3,3.4,2.9,3.5,3.9,4.2,4.5,4.2,4.9,5.1,6.2,4.67,12.44,11.51,10.03,10.17,10.5,9.96,10.92,12.46,9.87,15.62
32,Ifugao,5.55,15.4,10.19,9.56,10.45,9.68,12.58,9.63,11.69,13.95,14.14,4.2,3.3,3.8,6,3.8,3.7,4.8,5.2,5.8,5.2,6.6,6.54,10.66,10.14,9.18,9.68,8.8,11.05,10.4,10.84,14.97,22.33
33,Kalinga,5.56,12.95,11.33,9.63,11.67,10.76,11.33,15.94,10.48,11.87,16.13,4.5,4.3,4.8,4,4.6,4.1,4.8,5.4,5,4.9,6.7,4.99,11.48,10.19,9.54,8.62,9.66,9.75,10.86,10.9,11.97,14.13
34,Mountain Province,5.8,13.05,11.54,10.88,10.79,9.36,10.73,9.63,12.71,11.94,17.68,4.6,3.9,4.8,3.4,5,3.6,5.6,5.8,6.8,5.8,7.3,4.94,13.33,12.17,11.06,11.32,8.75,12.36,11.66,12.22,11.38,17.46
35,Apayao,6.16,15.92,18.51,14.66,13.58,14.28,14.37,13.31,16.88,14.81,17.64,5.5,4,4.9,7.5,4.7,5.9,7.3,7.2,6.6,8.5,7.8,7.2,13.28,13.58,14.04,11.27,15.23,14.1,16.81,16.55,15.75,19.11
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,REGION I - ILOCOS REGION,3.1,6.89,6.9,6.89,5.65,5.46,7.63,6.78,5.98,7.91,7.53,2.1,2.1,2.5,3.2,2.4,3.2,3.2,3.7,3.4,3.4,4.4,3,8.82,6.8,6.8,6.49,6.09,6.16,6.53,7.45,6.68,8.17
38,Ilocos Norte,4.71,10.67,8.58,9.7,10.51,9.47,10.69,9.44,10.7,11.17,13.97,3.2,3.8,3.1,3.5,3.7,3.7,4.4,4.6,4.5,5.3,4.7,3.99,11.81,9.95,8.58,9.92,9.73,8.84,8.76,9.45,10.25,13.57
39,Ilocos Sur,5.5,11.93,10.61,10.48,9.08,9.52,9.67,9.16,10.65,11.43,13.72,3.8,3.2,3.6,3.2,3,4,4.4,4.7,5.1,4.8,6.4,4.64,11.86,9.31,9.03,9.79,9.12,9.33,9.87,9.72,11.96,12.27
40,La Union,4.25,13.37,9.89,10.67,10.95,8.99,9.54,10.17,11.36,11.44,11.94,3.8,4.3,3.7,2.8,3.8,4.8,4.8,5.1,6.4,4.3,6.5,5,11.64,11.01,10.27,9.9,9.77,9.73,8.79,10.03,12.96,13.88
41,Pangasinan,4.96,10.57,10.04,9.49,10.29,9.89,10.55,10.26,8.8,11.4,12.58,3.4,2.9,3.4,3.7,4.9,4,4.6,4.6,6.8,6.1,7.2,5.11,13.14,10.04,10.41,9.54,10.59,9.98,9.92,11.22,11.74,16.07
42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,REGION II - CAGAYAN VALLEY,2.82,7.42,6.92,5.73,5.92,6.46,6.31,6.18,6.8,6.22,7.41,2.4,2.4,2,2.2,2.2,2.1,2.8,2.6,2.6,3.5,4.9,2.64,6.51,6.03,5.45,5.3,5.88,5.42,5.87,5.92,6.31,7.42
44,Batanes,16.13,17.52,22.04,22.77,24.92,22.89,19.32,21.55,25.67,19.84,26.5,5.8,6.8,5.3,6.3,10.8,8,6.8,7.8,6.1,7.5,9.6,6.81,15.72,15.12,15.62,13.46,14.3,15.02,14.14,13.71,15.86,20.44
45,Cagayan,4.99,10.4,10.77,9.04,11.08,10.21,11.05,10.86,10.42,12.22,14.3,4.3,3.3,3.2,3.8,3.7,3.6,4.9,5.3,4.5,5.6,5.5,4.88,11.44,10.54,9.83,9.51,11.36,8.77,10.98,11.36,10.25,13.18
46,Isabela,4.77,13.53,11.96,10.4,9.34,11.14,10.26,10.81,11.43,11.29,12.17,4.1,4.1,3.2,3.4,3.7,3.3,4.1,4.1,3.9,6.1,10,4.21,10.94,10.25,8.99,8.36,8.46,10,9.26,9.02,10.65,12.31
47,Nueva Vizcaya,5.09,12.35,9.67,10.07,10.08,11.1,12.3,9.73,9.93,10.81,14.26,4.2,3.5,3.9,3.7,4.4,5.3,3.9,6.3,5.1,5.3,4.6,5.07,11.05,10.9,10.28,9.04,10.05,9.32,10.22,11.13,11.66,15.3
48,Quirino,6.01,12.16,9.18,9.56,9.84,8.83,10.12,10.86,10.93,11.52,18.92,4,3,2.6,2.9,3.3,4.4,4.2,4.1,5.9,5.7,5.8,4.94,13.29,10.22,9.94,8.44,9.15,8.26,10.11,10.34,11.27,15.89
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,REGION III - CENTRAL LUZON,1.92,5.05,4.47,4.61,4.5,4.58,4.41,4.4,4.11,4.92,6.11,1.4,1.5,1.5,1.6,1.6,2.2,1.8,1.8,1.9,2,2.6,2.46,5.11,4.75,4.52,4.28,4.34,4.31,4.01,4.72,5.7,7.42
51,Aurora,5.44,12.02,9.11,10.82,10.89,11.01,11.03,9.57,11.28,11.69,16.31,3.9,5.1,3.9,3.9,3.2,4,5,5.1,7.1,5,5.9,4.52,12.15,9.2,8.06,8.69,8.87,11.25,9.23,11.27,10.6,15.1
52,Bataan,4.23,10.23,11.05,10.87,10.6,9.36,9.63,9.95,10.39,13.26,12.61,3.9,3.6,3.6,3.6,3.3,4.2,3.7,4.5,4.6,8.7,8.3,5.38,12.93,11.2,10.11,9.79,9.31,10.94,11.24,9.35,10.78,11.61
53,Bulacan,4.59,12.58,12.96,11.96,12.05,9.44,11.42,9.02,10.74,12.44,14.61,3.6,3.3,3.7,3.7,4.6,5.1,4.6,3.9,4.6,5.2,6.1,6.2,13.8,11.3,11.69,8.26,9.67,9.27,9.82,11.11,13.05,19.48
54,Nueva Ecija,3.73,12.1,9.95,9.9,9.97,10.69,10.38,9.11,9.81,10.49,13.17,3.7,3.7,3.2,2.7,4.9,4.3,4.6,5,5.2,5.4,5.3,4.84,12.81,10.15,8.61,8.91,9.4,8.57,9.88,8.33,15.04,16.46
55,Pampanga (Excluding City of Angeles),4.39,14.22,12.06,10.08,10.55,8.85,11.12,9.67,10.82,13.3,12.37,2.4,2.6,2.3,2.7,3,2.7,3,3.1,2.8,4,4.6,4.1,10.62,10.19,10.97,9.87,10.95,8.89,8.6,9.71,11.18,13.07
56,City of Angeles,4.51,11.92,11.89,10.12,10.43,10.24,10.42,9.35,11.48,11.9,18.65,4,2.4,3.6,3.5,2.9,3.2,3.8,4.1,4.1,6.7,7.6,5.24,11.29,11.26,9.77,8.9,9.87,9.44,10.58,11.08,12.98,18.15
57,Tarlac,4.49,10.15,9.03,9.85,9.88,9.03,9.34,10.26,11.16,10.26,10.5,2.8,3.2,3.4,3.5,4.5,4.1,4.4,4.3,4.6,4.2,5.9,8.56,11.66,8.41,12.97,9.26,9.98,11.32,11.1,10.61,20.57,22.12
58,Zambales (Excluding City of Olongapo),6.36,12.88,11.47,11.12,9.09,9.45,9.81,12.88,11.38,16.62,17.59,2.8,3.2,2.6,3.2,3.9,3.1,3.7,3.7,4.9,5,5.7,4.15,12.28,10.38,9.99,8.34,10.84,8.14,9.79,10.55,10.48,11.2
59,City of Olongapo,4.76,11.86,11.21,10.93,11.97,10.36,11.06,10.64,11.37,10.62,14.48,2.6,3.1,3.9,3.5,3.2,3.3,3.4,4.2,4.4,5.2,7,6.13,12.09,10.58,11.41,9.25,10.24,11.39,10.45,11.08,12.98,26
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,REGION IVA - CALABARZON,3.13,5.7,5.12,5.36,5.49,5.14,5.59,5.44,5.61,6.33,9.44,1.8,2.2,1.5,1.9,1.7,1.8,1.7,1.9,2.1,2.5,3.7,2.61,4.96,4.24,4.84,4.66,4.45,4.74,4.97,6.18,5.99,8.2
62,Batangas,5.56,11.99,11.49,9.54,11.12,12.39,10.15,11.58,11.32,12.18,15.32,2.7,3.2,3.2,2.9,3.4,3.9,3.9,4.3,5.3,4.5,5.5,5.69,12.28,8.29,9.88,10.37,9.59,10.9,9.28,11.34,12.76,13.16
63,Cavite,5.69,15.67,13.78,11.81,10.5,10.74,11.49,10.82,11.98,12.97,14.41,3.4,4,2.9,2.4,3.4,3,2.9,4,4.4,4.7,6.3,6.61,11.76,9.69,10,9.78,10.55,11.23,11.89,16.12,13.34,14.58
64,Laguna,7.58,13.45,10.5,10.93,10.62,11.23,12.91,9.66,13.94,13.44,19.5,3.8,4.5,3.6,5.1,4.1,4.5,4.5,5.1,5.3,6.5,5,4.88,11.26,10.2,10.12,10.13,9.39,10.19,9.53,12.62,12.17,18.11
65,Quezon (Excluding City of Lucena),5.54,15.09,9.25,10.35,11.09,10.27,9.39,9.46,11.72,11.72,18.34,4.9,4,5.1,3.4,4.4,4.2,4,3.9,3.9,4.3,10.3,5.12,12.95,10.61,9.61,8.59,7.92,9.25,11.74,12.71,11.81,12.83
66,City of Lucena,5.84,14.98,13.82,15.48,14.72,14.5,14.11,13.43,12.2,15.68,17.04,4.3,3.9,4,3.1,3.9,4.4,4.5,5.1,4.8,6,5.9,3.88,13.3,12.55,13.22,12.18,12.34,12.6,12.21,11.05,12.49,15.67
67,Rizal,7.52,11.71,12.41,11.22,10.61,12.33,11,11.09,13.21,12.46,27.3,4.7,4.5,3.4,3.3,3.8,3.6,4.2,3.7,5,4.3,9.5,4.69,10.94,10.83,10.9,10.51,9.55,10.82,10.61,10.71,12.39,19.48
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,MIMAROPA REGION,2.47,6.21,4.95,4.91,4.55,4.72,4.52,4.76,5.26,5.17,7.38,2.1,2.3,1.6,1.8,1.9,1.8,2.3,2.3,2.7,2.8,3.2,3.28,8.88,6.36,7.82,8.42,4.33,4.82,4.45,5.01,5.37,6.95
70,Marinduque,5.87,10.6,10.34,10.4,11.86,9.65,10.11,10.49,11.34,12.81,17.35,2.9,3,3,3.5,3.7,4.4,4.1,4.8,4.1,5.4,5,4.93,10.57,9.56,8.39,9.53,10.65,9.28,9.97,9.53,10.19,15.05
71,Occidental Mindoro,5.57,16.84,11.43,10.42,10.81,10.03,10.44,8.67,12.1,11.21,17.06,4,4.3,3.3,3.8,4.4,3.3,3.8,3.9,4.6,7.1,6.5,5.28,25.44,9.76,9.3,9.21,8.62,8.74,9.44,10.89,9.78,15.93
72,Oriental Mindoro,5.63,14.58,10.95,10.19,8.85,9.59,10.31,10.77,10.5,10.87,17.09,4.7,5.6,4.1,4.6,3.8,5.1,5,5.8,5.7,6.7,6,5.2,14.09,9.62,9.89,9.19,10.84,8.68,11,10.22,13.2,16
73,Palawan (Excluding City of Puerto Princesa),5.07,13.04,10.64,8.57,10.38,9.49,10.98,10.59,10.35,13.27,16.51,4.4,4.3,3.3,3.2,3.7,4,4,6.3,4.3,6.2,8.5,10.43,16.82,28.61,10.8,22.84,23.76,10.44,11.59,10.31,11.97,16.99
74,City of Puerto Princesa,5.45,14.96,12.15,10.02,11.52,9.97,11.62,12.53,11.54,12.28,13.29,3.9,3.2,3,3.1,4.5,5.2,4.8,4.8,4.3,5.5,5.3,6.37,12.83,11.57,10.36,9.73,9.52,10.56,11.07,13.89,11.7,15.14
75,Romblon,6.14,13.37,11.38,10.32,10.35,9.52,9.91,11.32,9.88,11.63,18.45,4.1,3.1,3.5,3.8,3.6,4.1,3.7,3.6,4.6,4.6,6.6,4.54,11.07,9.82,9.53,9.12,8.89,9.66,8.38,9.31,11.47,12.41
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,REGION V - BICOL REGION,2.65,6.01,5,4.53,4.89,4.85,5.28,5.43,5.19,5.63,8.66,2.3,1.8,1.8,1.5,1.7,1.8,2.1,2.2,2.4,2.5,3.2,2.73,5.08,4.24,4.45,4.22,4.27,4.97,4.53,5.11,5.57,8.37
78,Albay,5.72,12.51,11.33,9.98,9.15,11.11,10.56,9.5,10.06,12.85,19.23,5.4,3.6,3.6,3.3,4.2,4.2,3.8,4.7,6.3,6,8.5,5.66,9.99,11.17,9.81,9.02,11.06,10.07,9.83,10.54,11.04,16.51
79,Camarines Norte,4.45,11.58,10.22,9.51,10.3,10.34,9.16,9.87,11.36,12.35,13.57,3.6,3.1,3.6,4.1,3.9,4.3,4.2,4.6,4.1,5.6,5.1,5.04,9.95,10.49,10.7,9.98,9.42,9.46,10.11,8.09,12.06,16.52
80,Camarines Sur,5.5,12.66,10.8,9.53,10.94,11.17,12.76,11.04,12.97,11.03,17.37,4.7,3.8,3.4,3.2,3.5,3.9,4.2,4,5.6,3.9,5.4,6.3,11.67,9.79,10.15,9.58,8.38,9.49,9.23,12.54,12.44,17.93
81,Catanduanes,5.24,11.97,9.66,9.53,10.03,8.78,9.13,10.96,11.67,11.64,15.76,5.3,2.9,3.3,3.7,4.3,4.3,3.6,6.4,4.9,4.4,7.4,6.23,11.13,10.83,9.92,10.35,9.92,9.24,9.55,11.03,14.21,18.4
82,Masbate,6.53,12.83,10.35,9.16,9.08,9.28,8.52,10.51,10.63,14.4,21.2,5.4,3.7,3.5,3.8,3.4,4.6,4.5,4.7,5.3,5.4,9.2,5.12,11.62,10.2,9.65,9.86,8.96,10.46,10.77,10.47,11.15,15.11
83,Sorsogon,5.11,10.57,9.11,10.09,9.39,9.19,9.33,10.62,10.17,12,15.76,3.6,2.9,2.6,2.5,3.3,3,4.8,4.1,4.3,4.6,6.6,4.69,11.29,8.82,9.12,8.31,10.41,9.55,9.66,12.8,12.8,16.14
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
