,"Table 4a. Coefficient of Variation of the Total Annual Family Expenditure, by Per Capita Income Decile Class and by Region, Province and HUC: 2018, 2021 and 2023p",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33
85,REGION VI - WESTERN VISAYAS,3.01,6.03,4.97,5.64,5.19,5.08,5.03,4.7,5.26,7.08,7.46,3.28,7.22,5.82,4.93,4.85,5.33,4.74,5.26,6.23,6.06,8.54,4.31,6.02,6.35,5.41,5.04,5.82,5.46,5.99,6.87,8.92,9.84
86,Aklan,5.19,11.76,11.18,9.28,11.04,8.93,8.99,10.21,10.23,11.88,13.8,4.5,3.7,3.3,4,3.7,4.7,3.8,4.2,5.5,5.2,5.7,6.05,9.98,9.02,9.8,8.29,10.26,10.02,8.44,11.09,15.51,17.23
87,Antique,5.53,10.7,9.37,10.35,10.49,10.55,10.71,11.62,11.09,13.38,13.16,4.5,4.1,3.1,3.5,3.6,4.3,5.2,4.8,4.6,6,6.5,5.89,12.87,10.46,9.82,11.04,10.18,9.24,15.36,11.43,11.98,11.99
88,Capiz,5.51,9.81,9.74,8.63,9.23,8.82,10.45,10.13,11.73,11.99,14.32,3.1,3.4,3.1,3.3,3.5,3.8,3.8,4.6,4,5.5,5.8,7.07,11.09,9.32,10.45,10.7,12.22,14.27,12.37,14.65,11.2,13.08
89,Iloilo (Excluding City of Iloilo),6.22,11,9.08,12.3,10.76,10.36,9.96,9.57,10.91,13.59,14.8,4.7,4.6,3.7,3.8,4.6,4.5,4.4,5.2,5.4,4.8,8.1,9.58,10.62,12.08,10.16,10.26,9.9,10.72,11.54,14.43,20.65,21.2
90,City of Iloilo,4.91,11.55,10.25,11.09,9.78,10.76,10.43,11.01,10.37,11.1,12.92,4.1,3.6,3.1,3.5,3.4,4.3,3.7,4.2,4.1,4.7,6.6,5,12.17,12.12,11.17,12.08,9.81,10.66,9.95,11.55,13.63,16.02
91,Guimaras,6.32,15.83,13.74,11.95,13.65,13.94,11.84,11.8,12.7,13.6,21.43,8.9,4.3,4.4,4,3.7,4.7,5.8,5.1,6.3,6.7,19.3,7.7,18.9,14.56,14.02,13.85,12.45,17.39,14.49,15.54,16.55,17.22
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,NEGROS ISLAND REGION,3.57,9.79,7.43,8.01,7,6.82,6.39,6.7,7.31,8.13,9.08,3.28,8.58,7.45,6.73,6.99,6.66,6.74,7.15,6.62,7.06,8.53,3.77,9.91,9.91,7.41,7.29,6.94,6.42,7.35,6.52,6.96,11.75
94,Negros Occidental (Excluding City of Bacolod),5.43,14.34,9.72,11.66,10.45,9.96,9.53,9.61,11.79,12.89,15.62,3.5,4,2.7,2.9,4.2,3.2,3.5,3.7,3.9,3.8,5.5,6.04,15.67,13.32,9.98,10.1,11.06,9.92,11.79,9.82,13.58,19.23
95,City of Bacolod,4.72,11.39,11.6,11.05,11.1,12.13,10.41,10.54,12.39,12.64,14.93,3.1,3.6,2.8,3.4,3.6,3.7,3.7,4.2,4.2,4.9,4.4,4.01,12.24,10.25,10.5,10.03,9.97,10.51,9.54,10.02,12.85,15.8
96,Negros Oriental,7.51,14.62,11.03,10.99,9.19,10.9,11.9,12.2,11.69,13.12,17.77,5.5,5.4,3.9,3.7,4.1,4.6,5.2,5.6,6.1,8.8,8.3,6.53,13.43,11.96,11.45,10.06,10.47,10.96,10.87,10.74,13.32,21.98
97,Siquijor,5.57,17.14,14.77,13.42,12.33,13.07,14.16,12.78,11.54,17.9,15.74,7,5.3,4,5.3,5.4,6.7,6.9,6.8,7.8,7.1,7.7,6.32,19.02,16.37,12.88,12.79,13.08,14.13,13.21,14.61,14.53,15.97
98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,REGION VII - CENTRAL VISAYAS,3.01,7.59,6.07,5.83,5.46,5.45,6.14,6.17,5.89,6.27,7.5,3.27,8.49,6.76,5.84,6.78,5.38,5.76,5.91,6.17,5.94,7.9,3.02,6.69,6.06,5.43,5.3,6.18,5.15,6.73,6.16,6.79,8.52
100,Bohol,6.74,12.21,10.43,9.92,10.2,10.84,9.11,11.67,12.78,13.88,17.9,3.8,3.8,4.4,4.9,4.6,4.8,4.7,4.8,6.5,4.7,5.7,5.11,14.65,10.99,9.37,10.15,9.36,9.94,11.26,9.77,10.77,14.96
101,Cebu (Excluding the Cities of Cebu  Lapu-Lapu and Mandaue),5.34,12.55,10.55,10.99,9.21,10.33,9.76,11.03,11.34,12.89,13.17,4.7,4.7,4.5,5.3,4.8,5.3,3.8,5.2,5.3,5.2,5.8,5.81,10.76,10.19,9.5,9.76,10.36,9.32,10.48,14.13,12.91,17.25
102,City of Cebu,6.02,13.6,11.65,10.77,11.5,12.35,11.07,10.43,13.05,12.19,17,3.5,4.4,4.2,4.7,4.4,4.2,5.6,5.2,4.4,6.8,6.6,4.98,12.9,9.3,9.64,9.96,9.43,10.92,10.88,10.24,10.97,17.89
103,City of Lapu-Lapu (Opon),5.67,13.69,12.46,10.88,10.44,12.6,11.03,12.47,11.54,11.72,15.06,4.2,3.6,3.8,3.5,4.8,4.9,4.1,5,4.8,6.2,9.6,6.82,11.53,10.28,9.38,11.22,9.35,10.24,9.53,11.24,12.81,20.42
104,City of Mandaue ,5.91,11.26,13.2,13.98,12.37,13.49,11.32,10.75,15.06,12.05,13.39,4.3,3.5,3,3.5,3.8,4.4,4.3,5.6,5.4,6.9,9.1,5.12,15.32,11.95,11.94,10.13,11.08,9.2,9.49,10.6,12.9,16.75
105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,REGION VIII - EASTERN VISAYAS,3.02,6.33,5.48,4.97,4.88,4.96,4.77,4.43,5.17,5.38,8.63,2.6,2.5,1.8,2.3,2.2,2.7,2.4,2.7,2.8,4.1,3.3,2.99,5.51,4.69,4.57,4.85,5.15,4.67,5.64,5.26,6.59,8.49
107,Eastern Samar,6.42,11.22,10.74,10.68,10.17,9.74,10.14,11.07,14.55,12.05,17.32,4.3,4,3.9,4.5,4.4,4.8,4.2,5,6,5.8,6.4,5.9,12.6,9.75,10.36,10.13,9.41,11.01,10.4,11.49,11.19,15.46
108,Leyte (Excluding City of Tacloban),6.35,11.55,10.97,10.67,10.44,9.51,9.59,8.16,10.62,10.5,19.09,5.7,4.8,3.6,4.3,4.2,5.9,6,6,5.6,6.8,6.8,6.21,10.8,9.29,9.36,9.96,10.62,9.11,10.74,10.68,13.98,18.22
109,City of Tacloban,5.65,11.91,10.7,11.53,10.21,10.09,11.1,11.5,12.61,13.43,13.35,4.8,3,3.2,4,2.9,4.2,4.3,4.8,6.1,4.4,7.4,6.31,17.66,15.2,14.53,13.83,12.16,11.34,11.68,12.51,11.62,15.05
110,Northern Samar,6.76,11.54,11.74,11.29,8.67,10.06,9.29,10.19,10.81,12.3,17.92,4.8,2.9,2.9,3.4,3,4.5,4.5,4.4,5.9,5.8,6.5,5.32,13.5,9.04,9.18,9.28,9.96,9.64,12.37,10.99,11.71,17.13
111,Samar (Western Samar),7.09,12.94,11.45,9.4,8.78,10.51,11.72,14.44,11.93,14.48,17.29,4.3,4.7,3.8,4.9,4.4,5.4,4,4.6,4.9,6.2,6.6,6.1,11.53,8.55,9.31,8.09,9.25,10.42,10.62,12.34,12.37,16.34
112,Southern Leyte,4.85,11.85,8.63,9.11,10.37,10.48,10.39,10.92,9.42,10.65,13.75,3.4,3.6,3.3,3.3,3.6,3.7,4.3,5.5,4.7,4.2,4.5,4.99,10.59,9.93,10.41,10.81,8.75,9.73,8.54,10.22,11.28,14.74
113,Biliran,6.91,10.94,9.46,9.12,11.53,10.79,11.28,10.15,12.08,11.84,17.23,4.3,2.9,3.3,3.8,4,4.1,4,6,4.7,4.4,7.2,5.34,12.17,10.25,10.24,10.85,9.34,9.82,11.6,10.62,12.83,14.19
114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,REGION IX - ZAMBOANGA PENINSULA,3.29,6.56,5.38,5.55,5.6,5.72,5.78,5.63,5.94,6.71,8.59,2.4,1.6,2,1.9,1.9,2.1,1.9,2.1,2.3,2.3,3.4,2.95,6.54,5.42,5.11,5.22,4.81,4.88,4.96,5.54,5.62,9.42
116,Zamboanga Del Norte,8.14,12.24,10.67,10.74,12.62,10.8,12.15,11.37,11.65,14.08,21.56,6.4,3.5,3.9,3.4,3.9,4.2,4.3,5,6.4,5.1,6.7,7.08,14.41,11.45,9.74,9.62,9.69,10.45,10.39,12.74,11.11,22.55
117,Zamboanga Del Sur (Excluding City of Zamboanga),5.8,15.25,11.02,10.32,9.74,10.94,10.12,10.29,11.4,13.79,17.45,4.4,3.2,4.3,3.4,3.4,3.6,4.5,4.6,3.8,4.1,5.5,6.61,14.94,9.69,10.51,9.87,10.48,9.78,10.58,11.77,12.91,21.16
118,City of Zamboanga,5.59,13.7,11.78,13.95,11.21,10.23,10.88,10.93,11.73,12.41,14.3,3.2,3.4,2.5,3.3,2.7,3.9,3.1,3.3,3.6,4.5,6.8,4.6,15.22,11.35,8.66,9.51,9,8.82,9.49,9.78,11.6,13.57
119,Zamboanga Sibugay,7.14,13.61,10.85,9.6,11.62,9.36,11.36,10.58,11.98,16.84,16.47,4.9,2.8,3.6,3.4,3.6,3.3,3.8,3.1,4.9,5.8,7.5,6.13,11.07,9.01,9.99,8.34,9.49,9.17,10.15,10.21,12.05,17.22
120,Isabela City,8.63,23.71,19.34,16.03,16.69,15.48,16.03,15.51,18.09,15.57,19.89,5.1,7.9,4.9,5.4,5.7,7.6,5.5,9.5,11,8,8,6.78,18.33,15.55,14.23,15.23,13.71,14,18.7,17.21,16.07,18.92
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,REGION X - NORTHERN MINDANAO,2.54,5.28,4.26,4.23,3.99,4.51,4.61,4.47,4.37,5.05,7.28,2.3,2.4,1.7,1.6,1.7,1.8,1.8,2.3,2.1,2.7,3.4,2.35,5.35,4.11,4.19,4.36,3.97,4.37,4.44,4.5,4.66,6.78
123,Bukidnon,6.11,11.38,10.16,8.99,9.35,9.21,9.18,10.26,10.05,12.78,19.55,5.5,5.6,3.2,4.3,3.8,4.6,4,4.9,6.4,7.7,5.2,4.76,11.58,11.17,8.04,9.52,11.12,10.05,9.89,11.4,10.04,12.75
124,Camiguin,7.03,12.12,12.58,13.82,14.96,13.68,13.35,17.84,16.7,16.87,21.04,5.5,4.2,4.9,4.8,5.4,6,7.3,6.2,6.9,9.7,8.8,5.26,15.21,14.11,13.61,13.71,11.99,14.41,12.84,14.96,15.77,15.61
125,Lanao Del Norte (Excluding City of Iligan),6.97,11.81,9.66,9.26,11.53,9.75,12.08,11.11,11.3,12.75,20.61,4.2,4.1,3.2,4.1,3.5,3.6,4.1,3.6,4.5,6.9,6.5,6.26,13.82,11.2,9.87,9.32,9.88,10.81,11.38,11.37,13.4,16.85
126,City of Iligan,5.8,14.05,10.82,10.94,9.83,10.8,10.86,11.79,10.38,12.59,14.09,3.5,3.4,3.5,3.3,4.2,3.9,5.2,5.1,3.8,6.4,6.7,5.13,11.38,10.43,9.76,8.79,9.93,10.47,11.58,10.56,11.46,14.66
127,Misamis Occidental,5.74,12.34,9.79,10.06,9.26,10.04,9.61,8.76,10.68,11.18,16.4,4.7,3.8,4,3.5,3.6,3.9,5.5,4.2,5.3,4.9,5.9,5.58,11.16,9.41,8.94,9.27,10.64,10.11,10.05,9.17,10.26,14.57
128,Misamis Oriental (Excluding City of Cagayan de Oro),6.23,11.32,9.56,10.59,8.48,9.2,13.44,11.55,11.76,10.92,13.97,3.4,3.3,3.6,3.1,3.4,3.9,4.2,3.9,4.1,4.6,6.4,4.42,11.3,11.91,9.03,8.67,8.59,8.91,8.34,10.29,10.59,13.01
129,City of Cagayan de Oro,5.42,12.94,11.22,11.76,10.84,8.95,8.58,12.29,11.03,13.25,15.75,5.7,2.9,3.2,3.5,3.2,3.8,3.7,4.3,4.5,6.2,8.5,6.99,10.06,10.92,10.2,10.01,10.53,10.64,11.1,10.88,13.04,22.25
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,REGION XI - DAVAO REGION,2.65,6.51,5.15,4.74,4.65,5.16,5.55,5.95,6.14,6.42,8.37,2.2,1.7,1.4,1.6,1.8,1.7,2,1.9,2.3,2.8,4.6,2.82,9.36,4.84,4.86,5.04,4.72,5.27,4.98,5.26,6.17,10.11
132,Davao Del Norte,5.59,13.75,11.51,10.99,10.36,10.86,10.52,11.44,10.99,9.95,15.91,3.4,5.1,3.4,3.4,4.1,3.7,4.5,3.1,4.1,7.1,6.8,4.46,12.32,9.78,9.91,9.31,8.74,9.55,10.24,9.7,11.72,16.81
133,Davao Del Sur (Excluding City of Davao),5.69,11.14,10.06,10.28,9.68,9.82,10.25,9.58,11.03,14.8,16.37,4.4,4.2,4.3,4.8,3.8,4.6,4.8,4.3,4.4,4.6,6.3,5.97,11.96,10.33,10.19,8.45,9.69,8.4,9.72,10.59,12.83,18.85
134,City of Davao,4.64,16.76,10.37,11.23,10.33,10.99,10.99,10.07,11.86,12.01,13.73,4,3.5,3.1,3,3.4,3.8,3.8,4.4,4.2,6.8,7.4,5.48,26.66,11.95,11.17,9.99,10.71,8.88,9.88,10.32,10.26,18.56
135,Davao Oriental,6.87,11.58,10.52,10.05,11.1,8.13,9.27,9.09,12.11,17,20.58,4,2.9,2.8,3.2,2.9,3.3,4.1,3,4.3,5.1,10.2,4.97,12.92,10.22,9.67,9.84,8.15,9.66,10.09,9.68,11.78,15.35
136,Davao De Oro,5.72,11.51,11.29,9.92,8.93,11.03,10.88,11.12,10.16,11.13,15.39,3.4,3.5,3.1,3.3,3.3,3.8,6.5,4.1,5.1,5,6.6,5.61,13.6,11.24,14.01,10.39,10.73,9.58,11.08,9.39,12.19,15.48
137,Davao Occidental,5.02,13.55,9.61,9.9,9.4,10.92,9.73,11.25,11.1,11.94,16.99,4.1,3.3,3.2,3.7,3.3,3.5,5,4.3,3.6,5.3,7.1,5.13,17.34,9.23,9.86,9.33,9.33,9.77,9.84,8.96,10.22,17.69
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,REGION XII - SOCCSKSARGEN1/,2.68,7.51,5.35,4.58,5.06,5.34,4.9,5.36,5.84,5.94,7.51,2.98,6.93,5.01,5.11,4.82,4.68,4.87,4.95,5.6,5.64,8.48,3.14,7.8,5.92,4.97,4.74,5.02,4.9,5.12,5.45,6.42,9.41
140,Cotabato (North Cotabato),5.95,13.8,11.25,8.72,10.34,10.53,10.42,11.91,12.63,13.36,18.11,6.22,14.22,10.21,9.79,9.18,8.13,9.59,9.47,11.69,11.07,19.92,6.27,17.65,15.36,10.24,10.51,9.3,11,11.26,10.21,14.74,21.06
141,South Cotabato (Excluding City of General Santos),5.53,19.07,10.57,11.22,10.8,9.91,10.44,9.89,12.12,12.67,13.96,6.36,14.39,11.55,9.52,9.98,11.24,11.86,10.66,10.81,13.23,14.24,4.92,15.18,10.73,8.8,8.71,9.27,10.04,11.02,12.54,12.9,13.97
142,City of General Santos (Dadiangas),4.61,13.36,10.44,10.79,10.26,10.68,10.05,11.03,10.15,12.77,13.23,5.97,11.64,10.9,10.4,10.76,10.21,10.01,9.4,10.03,13.34,18.8,9.97,11.51,10.55,10.13,10.08,10.57,11.88,14.64,14.02,17.44,22.57
143,Sultan Kudarat,5.57,17.08,10.95,12.31,10.5,9.18,9.83,10.98,14.68,14.23,13.44,5.84,13.78,10.6,10.19,10.18,9.5,9.79,10.56,10.75,11.35,16.47,5.85,17.97,12.71,10.19,10.33,10.08,10.16,10.27,10.2,10.93,16.3
144,Sarangani,5.63,19.8,10.81,11.34,10.74,10.18,10.13,10.94,13.53,13.44,15.7,6.03,14.2,12.28,9.51,9.84,10.94,9.68,10.63,11.47,11.18,15.95,5.18,17.98,11.59,10.18,11.63,9.43,10.68,11.09,10.34,12.27,17.01
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,CARAGA,2.79,5.59,5.02,4.54,4.47,4.61,4.61,4.81,4.47,5.08,8.07,2.2,1.8,1.8,1.6,1.8,2.5,2,2.3,2.3,2.3,3.1,2.28,5.87,4.46,4.27,4.12,4.38,4.45,4.44,4.74,5.29,7.02
147,Agusan Del Norte (Excluding City of Butuan),4.44,12.22,11.02,9.76,9.56,10.08,10.35,10.63,9.85,10.91,13.81,4.2,3.3,3,4,3.1,3.9,4.2,3.7,3.9,5.6,7,4.1,12.11,10.34,9,9.2,8.71,10.75,11.1,9.46,11.61,13.81
148,City of Butuan,6.44,16.92,10.56,11.72,11.93,10.79,10.3,9.56,9.96,12.28,16.81,4.5,3.6,3.8,4.2,3.2,3.6,4.5,4,5.1,5,6.5,5.33,12.44,11.11,10.55,8.98,9.85,9.4,9.46,9.81,12.65,17.39
149,Agusan Del Sur,6.67,13.02,11.91,9.21,10.42,10.67,10.79,10.08,11.52,11.98,19.87,4.8,3.6,3,4,3.6,4.7,5.9,4.7,6,6.2,6.7,5.62,12.22,10.34,10.27,9.33,9.67,8.7,10.86,11.11,13.01,16.11
150,Surigao Del Norte,6.83,11.34,9.07,9.37,10.52,9.83,11.66,10.28,11.63,11.11,18.79,6.2,3.6,4.8,3.9,4,5.5,4.9,6.8,7.2,6.1,9.1,5.7,11.51,9.11,9.32,9.29,10.94,9.6,10.18,10.81,14.76,15.62
151,Surigao Del Sur,5.61,11.36,10.99,8.81,10.53,10.9,9.9,11.12,9.41,11.16,15.69,4.7,4.2,3,3.4,3.5,3.8,3.8,4.4,3.7,4.3,6.3,4.23,12.33,9.84,8.87,9.39,9.28,9.23,9.48,10.02,10.63,14.93
152,Dinagat Islands,7.09,18.42,16.82,14.4,15.19,15.75,14.4,16.07,19.07,14.57,18.34,5.6,5.3,6.2,6.6,5.9,5.5,6.1,7.2,7.1,6.9,9.9,6.58,15.32,13.73,11.12,13.02,11.85,13.7,15.09,15.26,15.58,16.54
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,BARMM - BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (includes the 63 barangays from Cotabato for 2023)2/,3.42,6.61,5.79,5.41,5.08,5.21,7,5.14,5.53,7.14,8.4,2.94,6.9,5.96,5.28,5.29,5.57,5.05,5.96,5.37,5.83,7.15,2.55,5.28,4.38,3.97,4.36,4.18,4.38,4.95,4.68,6.18,10.24
155,Basilan,6.49,14.44,12.64,11.21,11.49,10.66,11.86,10.6,9.84,13.76,15.58,7.55,13.57,11.49,10,11.34,10.45,12.27,10.42,11.4,13.19,23.27,6.4,13.64,11.7,10.8,10.6,10.64,11.55,10.36,12,12.33,17.38
156,Lanao Del Sur,7.01,13.89,10.64,13.47,10.04,10.3,13.6,10.96,10.18,12.26,19.39,5.5,10.08,10.63,9.11,9.39,9.61,10.15,10.15,10.11,10.84,13.79,6.91,10.83,11.43,10.53,9.89,10.85,11.39,9.88,9.76,14.67,25.14
157,Maguindanao ,7.82,13.8,11.6,10.1,9.65,12.32,14.18,11.31,11.77,20.09,19.33,6.18,14.68,12.85,10.69,11.69,10.69,9.74,12.11,12.18,13.35,17.85,3.48,8.86,7.62,7.29,6.24,7.15,7.56,7.06,7.65,7.78,10.14
158,Maguindanao del Norte,,,,,,,,,,,,,,,,,,,,,,,4.06,13.82,11.61,9.85,9.12,9.68,9.79,9.34,11.04,9.81,15.32
159,Maguindanao del Sur,,,,,,,,,,,,,,,,,,,,,,,3.97,10.31,9.17,9.65,8.44,9.09,9.98,9.62,9.5,12.36,12.81
160,Sulu,8.03,13.31,13.15,11.34,14.22,10.27,12.33,11.94,13.37,11.98,14.86,8.56,13.71,13.65,11.24,12.56,11.97,14.42,11.72,14.61,14.83,17.55,5.58,12.65,10.19,10.31,9.31,9.51,9.65,10.31,11.67,13.36,20.8
161,Tawi-Tawi,6.96,11.86,11.66,10.3,11.04,11.87,12.05,11.33,11.83,14.14,15.61,6.44,17.87,13.52,12.71,11.02,11.18,10.28,10.72,11.56,12.93,18.72,7.82,14.02,12.82,17.66,15.74,15.11,14.28,13.58,12.86,13.22,14
162,Cotabato City,5.35,15.01,13.43,13.42,11.31,11.41,13.9,12.46,12.39,13.94,16.36,5.85,14.12,13.77,13.42,13.35,13.62,13.26,11.8,12.36,14.67,15,4.78,15.73,11.55,11.97,12.12,12.18,12.14,10.8,12.92,13.73,19.91
163,"Source: Family Income and Expenditure Survey, Philippine Statistics Authority",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,p - Estimates are preliminary and may change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"1/ The 2018 and 2021 estimates still include the 63 barangays from North Cotabato. Meanwhile, in 2023, these are part of BARMM already. Hence, estimates for 2018 and 2021, and 2023 for Region XII are not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"2/ The 2018 and 2021 estimates exclude the 63 barangays from North Cotabato, which are now part of BARMM in 2023. Hence, estimates for 2018 and 2021, and 2023 for BARMM are not comparable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
