coach,team,totalSeasonsWithFranch,totalSeasonsOverall,currentSeasonTotalGames,currentSeasonTotalWins,currentSeasonTotalLosses,currentFranchiseTotalGames,currentFranchiseTotalWins,currentFranchiseTotalLosses,careerTotalGames,careerTotalWins,careerTotalLosses,careerWinPct,currentSeasonTotalPlayoffGames,currentSeasonTotalPlayoffWins,currentSeasonTotalPlayoffLosses,franchiseTotalPlayoffGames,franchiseTotalPlayoffWins,franchiseTotalPlayoffLosses,careerTotalPlayoffGames,careerTotalPlayoffWins,careerTotalPlayoffLosses
Quin Snyder,ATL,3,11,42,22,20,145,68,77,781,440,341,.563,0,0,0,6,2,4,57,23,34
Joe Mazzulla,BOS,3,3,43,30,13,207,151,56,207,151,56,.729,0,0,0,39,27,12,39,27,12
Jordi Fernandez,BRK,1,1,44,14,30,44,14,30,44,14,30,.318,0,0,0,0,0,0,0,0,0
Billy Donovan,CHI,5,10,44,19,25,362,175,187,762,418,344,.549,0,0,0,5,1,4,46,19,27
Charles Lee,CHO,1,1,39,11,28,39,11,28,39,11,28,.282,0,0,0,0,0,0,0,0,0
Kenny Atkinson,CLE,1,5,42,36,6,42,36,6,350,154,196,.440,0,0,0,0,0,0,5,1,4
Jason Kidd,DAL,4,9,43,23,20,289,163,126,662,346,316,.523,0,0,0,40,22,18,64,31,33
Michael Malone,DEN,10,12,43,27,16,762,451,311,868,490,378,.565,0,0,0,80,44,36,80,44,36
J.B. Bickerstaff,DET,1,9,43,22,21,43,22,21,588,277,311,.471,0,0,0,0,0,0,22,7,15
Steve Kerr,GSW,11,11,42,21,21,835,540,295,835,540,295,.647,0,0,0,140,99,41,140,99,41
Ime Udoka,HOU,2,3,42,28,14,124,69,55,206,120,86,.583,0,0,0,0,0,0,24,14,10
Rick Carlisle,IND,8,23,43,24,19,617,312,305,1814,967,847,.533,0,0,0,52,26,26,150,71,79
Tyronn Lue,LAC,5,9,42,24,18,360,208,152,571,336,235,.588,0,0,0,30,13,17,91,54,37
JJ Redick,LAL,1,1,41,23,18,41,23,18,41,23,18,.561,0,0,0,0,0,0,0,0,0
Taylor Jenkins,MEM,6,6,43,28,15,434,234,200,434,234,200,.539,0,0,0,23,9,14,23,9,14
Erik Spoelstra,MIA,17,17,42,21,21,1319,771,548,1319,771,548,.585,0,0,0,189,110,79,189,110,79
Doc Rivers,MIL,2,26,41,24,17,77,41,36,1937,1138,799,.588,0,0,0,6,2,4,221,113,108
Chris Finch,MIN,5,5,43,22,21,330,182,148,330,182,148,.552,0,0,0,27,12,15,27,12,15
Willie Green,NOP,4,4,44,12,32,290,139,151,290,139,151,.479,0,0,0,10,2,8,10,2,8
Tom Thibodeau,NYK,5,13,45,29,16,363,204,159,961,556,405,.579,0,0,0,29,14,15,85,38,47
Mark Daigneault,OKC,5,5,42,35,7,360,178,182,360,178,182,.494,0,0,0,10,6,4,10,6,4
Jamahl Mosley,ORL,4,4,45,23,22,291,126,165,291,126,165,.433,0,0,0,7,3,4,7,3,4
Nick Nurse,PHI,2,7,42,15,27,124,62,62,514,289,225,.562,0,0,0,6,2,4,47,27,20
Mike Budenholzer,PHO,1,11,42,21,21,42,21,21,843,505,338,.599,0,0,0,0,0,0,104,56,48
Chauncey Billups,POR,4,4,43,15,28,289,96,193,289,96,193,.332,0,0,0,0,0,0,0,0,0
Mike Brown,SAC,3,11,31,13,18,195,107,88,758,454,304,.599,0,0,0,7,3,4,90,50,40
Doug Christie,SAC,1,1,11,9,2,11,9,2,11,9,2,.818,0,0,0,0,0,0,0,0,0
Gregg Popovich,SAS,29,29,41,19,22,2250,1407,843,2250,1407,843,.625,0,0,0,284,170,114,284,170,114
Darko Rajakovic,TOR,2,2,43,11,32,125,36,89,125,36,89,.288,0,0,0,0,0,0,0,0,0
Will Hardy,UTA,3,3,41,10,31,205,78,127,205,78,127,.380,0,0,0,0,0,0,0,0,0
Brian Keefe,WAS,2,2,42,6,36,81,14,67,81,14,67,.173,0,0,0,0,0,0,0,0,0
